Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
15,8,3.671102,13,1
19,0,3.704671,16,4
17,1,4.452612,17,5
18,3,4.170986,15,4
16,6,3.684995,13,6
17,2,4.444775,17,2
12,7,3.606071,17,15
4,19,3.209769,8,26
11,16,3.177727,11,61
18,4,3.775407,14,4
12,8,3.550516,16,3
5,16,2.938184,9,22
17,3,3.934497,18,9
18,5,3.547300,14,8
4,20,3.209457,9,17
17,4,3.784196,17,3
12,9,3.488701,15,11
17,5,3.731408,16,1
19,1,3.693121,15,17
18,6,3.537378,14,4
17,6,3.715284,16,1
12,10,3.471913,15,4
15,9,3.645329,13,27
13,6,3.437704,14,33
19,2,3.675853,15,8
17,7,3.648495,16,6
18,7,3.449131,14,10
5,17,2.922258,8,31
15,10,3.436510,12,6
19,3,3.512564,15,5
16,7,3.555223,13,34
4,21,3.200732,9,26
19,4,3.501995,14,3
18,8,3.407726,13,6
4,22,3.191784,8,3
14,7,3.177727,11,80
20,-1,4.120929,18,0
16,8,3.536524,13,5
18,9,3.363248,13,5
5,18,2.861576,8,17
12,11,3.452584,15,19
17,8,3.604604,15,14
20,0,4.113011,18,4
12,12,3.442740,15,1
12,13,3.289889,14,1
15,11,3.390321,11,20
20,1,4.047250,18,6
16,9,3.227308,12,13
16,10,3.177727,11,1
12,14,3.242688,14,10
15,12,3.359964,10,8
19,5,3.490236,13,19
20,2,3.842463,18,5
18,10,3.362579,13,19
18,11,3.329113,13,3
4,23,3.191784,8,42
21,-1,3.975695,19,0
11,17,3.177727,11,74
22,-1,4.169022,13,0
12,15,3.180913,13,13
22,0,3.895073,13,2
18,12,3.250522,13,9
20,3,3.743371,17,11
15,13,3.334105,9,20
17,9,3.526308,14,27
18,13,3.217973,13,4
13,7,3.386282,13,53
22,1,3.893874,13,6
20,4,3.726049,17,5
18,14,3.205727,12,4
21,0,3.880758,18,9
19,6,3.432156,13,24
17,10,3.484250,14,9
20,5,3.683747,16,3
21,1,3.839867,17,3
19,7,3.393452,13,2
12,16,3.113792,12,13
22,2,3.831361,12,7
21,2,3.786441,16,1
22,3,3.752067,11,1
15,14,3.309747,8,18
12,17,3.063683,12,3
19,8,3.382886,12,10
21,3,3.776504,17,8
20,6,3.531845,15,11
19,9,3.322993,12,2
17,11,3.472417,13,14
5,19,2.861576,8,75
13,8,3.334671,12,23
23,-1,4.755312,17,0
22,4,3.659615,10,15
23,0,4.749163,16,2
23,1,4.739882,15,1
23,2,4.632365,16,1
17,12,3.451861,14,9
20,7,3.475312,15,9
12,18,2.934067,11,17
18,15,3.186392,11,25
15,15,3.285023,7,29
22,5,3.564329,10,10
23,3,4.615396,16,5
20,8,3.472177,14,3
20,9,3.459238,14,1
21,4,3.721546,16,12
15,16,3.259579,7,8
22,6,3.522449,10,5
23,4,4.067126,17,4
17,13,3.450653,15,9
19,10,3.287412,12,20
23,5,4.050126,17,2
15,17,3.254992,8,16
20,10,3.451366,13,10
16,11,3.177727,11,72
22,7,3.474640,9,13
24,-1,4.936402,17,0
20,11,3.442631,12,3
18,16,3.171915,10,21
20,12,3.433578,11,2
24,0,4.848121,17,3
12,19,2.914438,10,22
23,6,3.994225,16,13
19,11,3.277341,12,18
24,1,4.836418,17,5
22,8,3.428108,8,14
