Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
1,-1,3.525106,9,0
3,-1,4.689080,13,0
2,-1,4.704128,12,0
1,0,3.459833,9,2
3,0,4.640281,13,2
1,1,3.396925,8,2
1,2,3.330016,7,3
3,1,4.635261,14,9
2,0,4.291790,12,11
3,2,4.633856,13,3
3,3,4.632017,12,3
3,4,4.628122,12,3
3,5,4.626283,11,6
3,6,4.110803,12,1
3,7,3.877618,12,2
2,1,4.025910,12,14
1,3,3.320682,8,50
2,2,3.914966,11,5
2,3,3.847108,10,3
1,4,3.242168,7,12
2,4,3.777780,9,2
2,5,3.684204,8,3
3,8,3.759229,12,21
3,9,3.753085,11,6
1,5,3.238039,7,25
3,10,3.705978,11,5
2,6,3.626501,7,24
1,6,2.865090,8,22
2,7,3.617736,6,10
1,7,2.797805,9,5
3,11,3.670842,11,15
2,8,3.451755,7,34
1,8,2.792493,8,26
3,12,3.623961,10,24
2,9,3.360796,6,16
3,13,3.418052,10,13
3,14,3.415738,10,9
3,15,3.295393,11,14
1,9,2.778072,9,53
2,10,3.360796,6,56
4,-1,4.648611,14,0
4,0,4.273651,15,1
3,16,3.246042,10,22
4,1,4.070227,14,10
4,2,4.022714,14,10
4,3,4.000570,13,11
4,4,3.950757,13,1
1,10,2.770757,10,53
4,5,3.896065,13,3
4,6,3.638794,13,11
4,7,3.612504,13,3
3,17,3.227308,10,60
3,18,3.177727,9,4
4,8,3.350956,12,21
4,9,3.348888,12,14
4,10,3.330773,11,3
4,11,3.302642,11,2
4,12,3.286707,11,9
1,11,2.770757,10,75
5,-1,3.901042,14,0
5,0,3.871875,15,1
5,1,3.726658,15,1
5,2,3.725480,14,6
3,19,3.177727,9,71
6,-1,4.653753,12,0
5,3,3.437165,14,2
6,0,3.524940,13,2
5,4,3.434031,13,2
4,13,3.285200,10,23
5,5,3.430694,12,14
4,14,3.242168,10,7
5,6,3.427342,11,14
6,1,3.477465,13,27
6,2,3.429826,13,1
5,7,3.401803,11,11
5,8,3.383382,11,3
5,9,3.380031,10,2
5,10,3.291673,10,5
5,11,3.288214,9,7
6,3,3.382587,12,21
5,12,3.284655,8,8
6,4,3.334671,12,5
5,13,3.184523,8,13
5,14,3.181071,7,4
5,15,3.047994,7,6
5,16,2.962216,7,7
6,5,3.200229,12,16
5,17,2.914231,8,1
5,18,2.878546,7,1
6,6,3.165828,12,1
4,15,3.242168,10,71
7,-1,4.927009,11,0
7,0,4.492000,12,2
6,7,3.105788,12,8
6,8,3.089582,11,1
6,9,3.080200,10,1
7,1,4.403834,12,9
7,2,3.495219,12,2
6,10,3.070061,9,11
7,3,3.456653,12,3
7,4,3.245897,12,2
6,11,3.058751,8,11
7,5,3.209226,12,7
7,6,3.197864,11,1
7,7,3.183961,10,2
5,19,2.878546,7,63
8,-1,4.517787,14,0
6,12,3.047642,7,12
8,0,4.173820,14,3
6,13,3.046007,7,2
6,14,3.035350,6,1
8,1,4.127248,14,5
8,2,4.114700,13,3
7,8,3.172197,9,25
8,3,4.098530,13,7
6,15,3.019099,6,32
6,16,2.947285,5,7
7,9,3.158076,8,12
7,10,3.150477,8,1
8,4,4.092848,13,8
8,5,3.927841,13,2
7,11,3.092147,7,14
8,6,3.514464,13,6
8,7,3.508891,14,2
6,17,2.947285,5,41
9,-1,4.108605,15,0
9,0,4.049942,14,4
9,1,3.612466,13,5
9,2,3.592506,12,7
7,12,3.092147,7,55
10,-1,4.213708,12,0
9,3,3.562460,11,6
10,0,4.150981,13,3
10,1,3.983463,13,2
10,2,3.841502,13,5
10,3,3.799480,13,1
9,4,3.533491,10,10
8,8,3.466033,13,27
10,4,3.775275,13,4
10,5,3.609205,13,8
10,6,3.541988,13,3
9,5,3.477998,9,16
10,7,3.368258,13,3
9,6,3.432550,9,5
10,8,3.263377,13,9
8,9,3.371968,12,20
10,9,3.213637,13,3
9,7,3.407307,8,15
8,10,3.365675,12,7
10,10,3.174879,13,12
10,11,3.122988,12,7
10,12,3.073580,11,8
8,11,3.362590,11,18
9,8,2.908200,9,40
8,12,3.325407,11,3
9,9,2.898412,9,15
10,13,3.030704,10,19
10,14,3.015916,9,9
9,10,2.889135,8,17
8,13,3.324555,11,29
9,11,2.878992,7,13
10,15,2.997085,8,13
8,14,3.321659,11,6
10,16,2.852766,8,22
8,15,3.312348,10,13
9,12,2.878992,7,49
8,16,3.292392,9,33
8,17,2.983963,9,7
10,17,2.849963,9,51
8,18,2.901935,8,11
8,19,2.888271,7,14
8,20,2.861576,8,51
10,18,2.849963,9,75
8,21,2.861576,8,75
1,-1,5.024764,14,0
2,-1,4.648728,11,0
3,-1,4.689080,14,0
1,0,4.692465,15,1
3,0,4.394371,15,2
2,0,4.547602,11,4
1,1,4.414081,14,5
3,1,4.164386,15,4
2,1,4.539814,11,4
1,2,4.401141,14,2
2,2,3.976159,11,2
3,2,3.967129,15,3
1,3,3.929510,14,2
1,4,3.772809,14,1
1,5,3.760727,13,2
3,3,3.942563,14,4
3,4,3.864323,14,1
2,3,3.962892,11,8
3,5,3.850391,14,4
2,4,3.550134,11,5
2,5,3.477663,12,1
2,6,3.444228,11,3
1,6,3.700106,12,14
2,7,3.434204,10,6
1,7,3.631743,12,5
3,6,3.847128,14,10
1,8,3.619234,11,6
2,8,3.376622,11,15
3,7,3.575748,14,9
1,9,3.458769,10,12
1,10,3.419962,11,2
3,8,3.530514,14,4
3,9,3.454372,14,1
1,11,3.370007,11,14
2,9,3.348862,11,33
3,10,3.257405,14,19
1,12,3.312382,10,25
2,10,3.308675,10,18
1,13,3.270008,9,1
1,14,3.257709,8,1
1,15,3.251867,8,1
1,16,3.188457,7,5
1,17,3.188457,7,37
4,-1,4.672195,15,0
4,0,4.665302,15,1
2,11,3.264262,9,36
4,1,4.637746,14,4
4,2,4.369026,14,1
4,3,4.338452,13,2
