Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
3,-1,3.864646,19,0
1,-1,4.324810,20,0
2,-1,5.159412,19,0
1,0,4.166622,19,1
2,0,4.821492,18,1
2,1,4.669547,18,1
3,0,3.811616,19,2
1,1,3.415739,20,1
1,2,3.370980,20,1
1,3,3.318870,20,2
3,1,3.749716,19,4
3,2,3.707143,18,1
2,2,4.543871,19,6
3,3,3.634829,17,2
2,3,4.445074,19,6
3,4,3.562700,17,5
3,5,3.477465,17,1
2,4,3.717275,20,3
1,4,3.274214,20,11
1,5,3.240313,20,1
3,6,3.429826,16,6
2,5,3.628062,20,8
1,6,3.163364,19,6
2,6,3.625262,19,2
1,7,3.152886,18,1
2,7,3.560035,19,1
1,8,3.045332,18,2
3,7,3.382587,15,14
2,8,3.512657,19,5
2,9,3.438587,18,1
1,9,3.038524,17,5
2,10,3.432663,17,1
2,11,3.429853,16,1
2,12,3.327223,16,1
2,13,3.320866,15,3
2,14,3.317315,14,2
3,8,3.286905,14,11
1,10,3.024505,17,7
2,15,3.313863,13,9
2,16,3.309553,12,3
1,11,2.867019,17,9
2,17,3.263444,13,2
2,18,3.224310,13,8
2,19,3.207364,12,5
2,20,3.153672,11,5
3,9,3.177727,13,25
1,12,2.865173,17,11
2,21,3.112469,11,5
1,13,2.864109,16,2
2,22,2.873642,10,5
1,14,2.849668,15,5
1,15,2.836663,14,3
2,23,2.848157,11,12
2,24,2.844925,10,10
1,16,2.820622,13,12
1,17,2.813075,12,14
1,18,2.811576,12,2
1,19,2.797837,11,8
2,25,2.844925,10,55
1,20,2.774122,10,9
1,21,2.760225,9,15
