Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
1,-1,4.091378,15,0
3,-1,4.548511,15,0
2,-1,4.778006,14,0
1,0,3.868332,16,1
2,0,4.504772,14,2
3,0,4.474411,16,3
2,1,4.446937,13,3
3,1,4.471518,16,2
1,1,3.688675,16,5
2,2,4.400855,14,3
3,2,4.414967,15,4
3,3,4.403357,15,2
2,3,4.359032,13,6
3,4,4.339190,14,4
2,4,4.302214,13,1
1,2,3.645637,15,9
3,5,4.135281,14,1
2,5,4.177062,13,2
2,6,4.150608,13,1
3,6,4.071235,13,3
3,7,3.998303,12,2
2,7,4.107776,12,6
3,8,3.612478,12,6
2,8,3.864917,12,2
3,9,3.532079,12,3
2,9,3.812365,11,3
1,3,3.601676,14,12
2,10,3.750772,10,3
3,10,3.491077,12,8
2,11,3.682641,9,10
1,4,3.554996,13,14
3,11,3.445008,12,11
2,12,3.589345,8,13
2,13,3.336609,8,3
1,5,3.520165,13,7
3,12,2.962709,12,14
2,14,3.302642,8,15
1,6,3.455234,12,17
3,13,2.873573,11,11
1,7,3.454031,12,4
3,14,2.846487,11,1
3,15,2.811082,11,3
2,15,3.242168,7,17
1,8,3.393183,11,6
1,9,3.389764,11,16
3,16,2.796196,10,17
2,16,3.145553,7,34
1,10,3.382668,10,16
1,11,3.251678,10,8
1,12,3.185691,10,10
2,17,3.126988,8,29
1,13,3.183788,10,16
2,18,3.101399,8,23
1,14,3.158940,9,9
1,15,3.151112,10,5
1,16,3.094800,10,10
3,17,2.796196,10,65
1,17,3.021707,9,3
2,19,2.843623,9,29
1,18,2.964181,8,14
2,20,2.812229,9,15
1,19,2.962163,9,51
2,21,2.805411,10,51
2,22,2.798903,9,11
2,23,2.770757,10,7
1,20,2.932423,10,62
2,24,2.770757,10,70
1,21,2.932423,10,75
1,-1,5.149400,13,0
2,-1,4.778006,14,0
3,-1,4.546031,16,0
1,0,4.304627,14,2
2,0,4.700090,15,2
3,0,4.302760,17,2
2,1,3.995198,15,3
3,1,4.248755,16,4
1,1,4.294119,14,5
3,2,4.011999,16,2
2,2,3.973821,14,5
1,2,4.224991,13,5
2,3,3.910650,13,2
3,3,3.979801,16,4
2,4,3.846981,12,3
2,5,3.673022,12,2
3,4,3.928945,15,4
2,6,3.628898,11,3
3,5,3.137020,15,3
2,7,3.603685,11,7
1,3,4.147770,12,13
3,6,3.078159,14,3
2,8,3.542746,11,3
3,7,3.015786,13,2
2,9,3.498652,10,7
1,4,4.074607,11,12
2,10,3.468096,10,5
3,8,2.950076,12,10
2,11,3.436985,10,4
1,5,4.029780,11,7
2,12,3.390644,9,4
1,6,3.895163,11,6
1,7,3.779918,11,2
1,8,3.706202,10,2
3,9,2.897627,12,13
2,13,3.354230,9,9
1,9,3.454026,10,2
1,10,3.451429,9,7
1,11,3.340725,9,4
2,14,3.303552,8,10
1,12,3.336198,8,3
3,10,2.796828,11,13
2,15,3.286905,7,10
1,13,3.285201,8,10
2,16,3.227308,7,9
1,14,3.280456,7,8
2,17,3.177727,6,7
3,11,2.778311,10,16
1,15,3.259375,7,18
1,16,3.057686,7,7
1,17,2.997594,6,5
2,18,3.177727,6,58
1,18,2.992051,7,46
3,12,2.778311,10,69
1,19,2.992051,7,68
2,-1,4.531528,18,0
3,-1,4.203870,19,0
1,-1,4.109383,18,0
2,0,4.189938,18,3
1,0,4.100348,18,2
1,1,3.974774,18,2
2,1,4.139223,18,3
1,2,3.910602,18,1
1,3,3.893537,18,1
2,2,3.942804,18,4
2,3,3.941865,18,5
3,0,4.011105,19,12
1,4,3.890698,18,7
1,5,3.867146,18,1
3,1,3.897605,19,2
3,2,3.852168,18,2
3,3,3.851722,18,5
3,4,3.806491,17,2
3,5,3.750308,17,1
1,6,3.461270,18,11
1,7,3.442074,18,1
2,4,3.904859,18,18
1,8,3.419214,17,2
2,5,3.677469,18,3
1,9,3.396548,18,1
2,6,3.609913,18,1
1,10,3.389981,17,4
3,6,3.713173,17,10
1,11,3.383289,16,6
1,12,3.266521,15,2
3,7,3.667390,17,4
2,7,3.603315,17,15
1,13,3.233998,15,4
1,14,3.209852,14,4
2,8,3.595981,16,9
3,8,3.638934,17,12
1,15,3.173513,13,11
3,9,3.630100,18,3
1,16,3.163271,12,5
3,10,3.592539,18,1
1,17,3.152386,11,6
2,9,3.479484,17,30
2,10,3.470490,16,2
2,11,3.470233,17,2
3,11,3.587792,17,19
2,12,3.469391,17,12
3,12,3.581850,17,5
2,13,3.468234,17,5
3,13,3.553532,16,5
1,18,3.097463,11,45
2,14,3.459530,16,8
2,15,3.450648,17,5
3,14,3.540456,15,11
3,15,3.531270,16,2
1,19,3.087022,10,18
3,16,3.493826,16,2
1,20,3.067541,10,5
1,21,3.062699,9,7
2,16,3.345736,17,15
3,17,3.486727,15,7
3,18,3.454141,15,1
2,17,3.342673,16,4
2,18,3.334399,16,7
3,19,3.410495,15,8
2,19,3.289390,16,14
1,22,3.062142,9,58
3,20,3.404263,14,23
3,21,3.399203,13,8
1,23,3.061807,9,35
1,24,3.060796,9,6
2,20,3.287677,15,39
3,22,3.379738,13,24
3,23,3.345739,13,15
3,24,3.340501,12,9
2,21,3.287677,15,75
2,-1,4.455236,17,0
3,-1,5.049951,20,0
2,0,4.379111,16,1
1,-1,5.237507,20,0
3,0,4.765134,20,1
2,1,4.344625,16,1
2,2,4.341172,15,2
2,3,4.309253,16,3
2,4,4.272667,17,4
3,1,4.687235,19,8
3,2,4.647808,19,1
1,0,5.066948,20,11
2,5,4.263502,16,6
2,6,3.779768,16,1
3,3,4.560062,18,6
3,4,4.544692,18,1
2,7,3.715888,16,5
3,5,4.158334,18,3
1,1,4.291790,20,6
3,6,4.154307,18,2
3,7,4.150796,18,2
3,8,4.109621,18,1
1,2,3.617215,20,6
3,9,4.098757,18,4
2,8,3.344335,16,11
1,3,3.562038,19,4
2,9,3.335068,15,7
3,10,4.090020,17,8
3,11,4.058609,17,3
1,4,3.503778,19,7
2,10,3.313040,15,10
3,12,4.028415,17,5
1,5,3.448358,19,5
3,13,3.829107,18,3
2,11,3.303770,14,7
1,6,3.376837,19,5
1,7,3.302642,18,2
2,12,3.149182,14,6
3,14,3.400506,19,7
2,13,3.117622,15,1
2,14,3.084434,15,1
2,15,3.050162,16,1
2,16,3.033491,15,3
3,15,3.374734,19,4
3,16,3.373321,19,1
2,17,3.010525,15,6
2,18,3.007465,15,3
1,8,3.242168,18,17
3,17,3.315307,19,10
2,19,3.006269,14,7
3,18,3.290258,18,8
2,20,3.002719,15,11
2,21,3.000301,15,4
3,19,3.289807,18,5
3,20,3.252437,17,8
2,22,2.883359,15,16
3,21,3.248238,17,4
3,22,3.192946,17,11
3,23,3.180398,17,4
3,24,3.124355,17,1
2,23,2.879040,15,27
