Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
6,34,2.818375,7,53
8,21,3.199492,8,67
8,21,3.208864,9,67
6,35,2.805902,6,4
16,15,3.177727,10,74
16,15,3.177727,9,74
15,32,2.891974,10,13
14,26,2.856151,6,66
14,26,2.856679,7,66
8,22,3.199492,8,5
9,49,2.856151,6,66
9,49,2.856679,7,66
1,32,2.928551,7,52
1,32,2.928551,7,52
9,50,2.856151,6,1
15,33,2.834732,9,7
3,43,2.789505,9,43
14,27,2.856151,6,15
3,44,2.783660,8,5
5,24,2.861576,8,26
2,26,2.861576,8,56
4,34,3.191784,8,44
4,34,3.200732,9,44
4,35,3.191784,8,3
13,18,3.095480,9,63
13,18,3.095480,9,63
1,33,2.928551,7,47
1,33,2.928551,7,47
6,36,2.805902,6,60
6,36,2.818375,7,60
7,38,2.789505,9,52
9,51,2.856151,6,61
9,51,2.864867,7,61
10,25,2.810715,9,75
10,25,2.826148,10,75
9,52,2.856151,6,3
6,37,2.805902,6,11
7,39,2.783660,8,15
14,28,2.856151,6,61
14,28,2.856679,7,61
8,23,3.188289,8,56
11,21,3.177727,11,80
11,21,3.177727,11,80
12,28,2.861576,8,79
12,28,2.876669,9,79
14,29,2.856151,6,17
1,34,2.928551,7,52
1,34,2.958860,8,52
9,53,2.805902,6,45
4,36,3.191784,8,41
4,36,3.200732,9,41
3,45,2.783660,8,75
3,45,2.804036,8,75
4,37,3.191784,8,2
9,54,2.803240,7,8
12,29,2.861576,8,9
9,55,2.796280,8,3
10,26,2.825576,10,31
1,35,2.928551,7,13
16,16,3.177727,9,78
16,16,3.177727,8,78
6,38,2.805902,6,62
6,38,2.818375,7,62
8,24,3.188289,8,39
8,24,3.194716,9,39
13,19,3.095480,9,62
13,19,3.101623,10,62
6,39,2.805902,6,7
2,27,2.861576,8,74
2,27,2.873016,8,74
5,25,2.861576,8,71
5,25,2.876669,9,71
15,34,2.834732,9,72
15,34,2.849428,10,72
13,20,3.100255,11,5
3,46,2.783660,8,31
13,21,3.095836,10,6
7,40,2.783660,8,64
7,40,2.789505,9,64
7,41,2.783660,8,2
13,22,3.095480,9,5
8,25,3.188289,8,17
10,27,2.810465,9,30
15,35,2.834732,9,14
14,30,2.856151,6,65
14,30,2.856679,7,65
14,31,2.856151,6,4
1,36,2.928551,7,56
1,36,2.939454,8,56
9,56,2.789505,9,49
4,38,3.191784,8,42
4,38,3.200732,9,42
1,37,2.928551,7,7
13,23,3.091195,9,17
6,40,2.805902,6,53
6,40,2.818375,7,53
4,39,3.191784,8,9
9,57,2.783660,8,18
6,41,2.805902,6,6
13,24,3.086345,8,19
13,25,3.082657,7,3
5,26,2.861576,8,48
8,26,3.188289,8,40
8,26,3.202099,9,40
16,17,3.177727,8,66
16,17,3.177727,8,66
8,27,3.188289,8,2
12,30,2.861576,8,73
12,30,2.876669,9,73
11,22,3.177727,11,74
11,22,3.177727,12,74
3,47,2.783660,8,67
3,47,2.794551,9,67
14,32,2.856151,6,59
14,32,2.872622,6,59
1,38,2.928551,7,53
1,38,2.939454,8,53
14,33,2.872111,7,5
2,28,2.873016,8,74
2,28,2.888640,9,74
12,31,2.861576,8,16
9,58,2.718934,8,43
9,59,2.709020,7,1
7,42,2.783660,8,66
7,42,2.789505,9,66
7,43,2.783660,8,1
2,29,2.873016,8,6
1,39,2.928551,7,16
13,26,3.082657,7,40
13,26,3.086345,8,40
6,42,2.805902,6,55
6,42,2.818375,7,55
4,40,3.191784,8,44
4,40,3.200732,9,44
13,27,3.082657,7,3
4,41,3.191784,8,4
3,48,2.783660,8,29
6,43,2.805902,6,11
8,28,3.188289,8,40
8,28,3.195174,9,40
8,29,3.194716,9,3
10,28,2.810465,9,75
10,28,2.825576,10,75
15,36,2.834732,9,69
15,36,2.849428,10,69
10,29,2.786773,9,6
8,30,3.188289,8,9
14,34,2.832853,7,47
13,28,3.082657,7,43
13,28,3.086345,8,43
1,40,2.928551,7,53
1,40,2.939454,8,53
9,60,2.709020,7,65
9,60,2.752907,7,65
16,18,3.177727,8,74
16,18,3.177727,7,74
9,61,2.718934,8,10
13,29,3.082657,7,15
15,37,2.834732,9,17
9,62,2.709020,7,8
4,42,3.191784,8,41
4,42,3.200732,9,41
5,27,2.861576,8,72
5,27,2.873016,8,72
4,43,3.191784,8,4
1,41,2.928551,7,22
6,44,2.805902,6,62
6,44,2.818375,7,62
7,44,2.783660,8,71
7,44,2.812226,9,71
3,49,2.783660,8,68
3,49,2.794551,9,68
14,35,2.832853,7,43
14,35,2.861104,8,43
8,31,3.188289,8,41
8,31,3.195174,9,41
6,45,2.805902,6,17
2,30,2.873016,8,74
2,30,2.888271,7,74
8,32,3.188289,8,4
16,19,2.962146,7,42
12,32,2.861576,8,78
12,32,2.876669,9,78
14,36,2.832853,7,13
13,30,2.959066,7,43
11,23,3.177727,12,82
11,23,3.177727,12,82
3,50,2.783660,8,25
9,63,2.709020,7,60
9,63,2.718934,8,60
7,45,2.783660,8,30
1,42,2.928551,7,54
1,42,2.939454,8,54
16,20,2.898888,6,26
9,64,2.709020,7,6
16,21,2.880749,6,2
1,43,2.928551,7,11
4,44,3.191784,8,45
4,44,3.200732,9,45
12,33,2.861576,8,31
4,45,3.191784,8,5
6,46,2.805902,6,54
6,46,2.818375,7,54
10,30,2.786773,9,74
10,30,2.788205,9,74
13,31,2.959066,7,41
13,31,2.959066,7,41
8,33,3.188289,8,44
8,33,3.194716,9,44
15,38,2.788205,9,50
8,34,3.188289,8,1
2,31,2.861576,8,51
5,28,2.863744,9,58
14,37,2.832853,7,45
14,37,2.867570,7,45
6,47,2.805902,6,19
14,38,2.865418,8,6
16,22,2.879897,6,44
9,65,2.709020,7,67
9,65,2.718934,8,67
1,44,2.928551,7,54
1,44,2.939454,8,54
14,39,2.861104,8,17
1,45,2.928551,7,7
9,66,2.709020,7,8
13,32,2.959066,7,42
13,32,2.959066,7,42
14,40,2.832853,7,6
3,51,2.783660,8,71
3,51,2.789505,9,71
8,35,3.188289,8,40
8,35,3.194716,9,40
3,52,2.783660,8,5
8,36,3.188289,8,3
7,46,2.783660,8,74
7,46,2.794551,9,74
4,46,3.191784,8,44
4,46,3.200732,9,44
16,23,2.858405,7,43
4,47,3.191784,8,5
6,48,2.805902,6,64
6,48,2.818375,7,64
7,47,2.783660,8,12
11,24,3.177727,12,78
11,24,3.177727,12,78
6,49,2.805902,6,6
13,33,2.959066,7,42
13,33,2.963497,8,42
13,34,2.959066,7,3
1,46,2.928551,7,55
1,46,2.939454,8,55
12,34,2.861576,8,72
12,34,2.876669,9,72
14,41,2.832853,7,41
14,41,2.861104,8,41
2,32,2.861576,8,71
2,32,2.876669,9,71
1,47,2.928551,7,6
9,67,2.709020,7,64
9,67,2.752907,7,64
10,31,2.788205,9,69
10,31,2.802637,10,69
12,35,2.861576,8,9
14,42,2.832853,7,8
9,68,2.718934,8,10
8,37,3.188289,8,41
8,37,3.239452,9,41
15,39,2.786773,9,63
2,33,2.861576,8,11
9,69,2.709020,7,4
8,38,3.232338,8,10
3,53,2.718934,8,66
13,35,2.959066,7,43
13,35,2.963497,8,43
13,36,2.959066,7,1
5,29,2.863744,9,78
5,29,2.868458,10,78
16,24,2.858405,7,68
16,24,2.867506,8,68
4,48,3.191784,8,47
4,48,3.200732,9,47
6,50,2.805902,6,54
6,50,2.818375,7,54
8,39,3.191784,8,13
4,49,3.191784,8,3
6,51,2.805902,6,8
10,32,2.788205,9,25
3,54,2.709020,7,16
16,25,2.858405,7,12
1,48,2.928551,7,59
1,48,2.928551,7,59
14,43,2.832853,7,40
14,43,2.884505,8,40
7,48,2.783660,8,68
7,48,2.794551,9,68
9,70,2.709020,7,59
9,70,2.778243,8,59
14,44,2.872111,7,9
13,37,2.709020,7,41
9,71,2.709020,7,11
7,49,2.783660,8,17
5,30,2.864056,11,27
11,25,3.177727,12,82
11,25,3.177727,12,82
6,52,2.805902,6,57
6,52,2.818375,7,57
1,49,2.928551,7,54
1,49,2.939454,8,54
3,55,2.709020,7,60
3,55,2.778243,8,60
8,40,3.191784,8,44
8,40,3.191784,8,44
4,50,3.191784,8,43
4,50,3.200732,9,43
5,31,2.848442,10,12
2,34,2.861576,8,73
2,34,2.876669,9,73
4,51,3.191784,8,3
1,50,2.928551,7,10
6,53,2.805902,6,17
16,26,2.858405,7,67
16,26,2.868546,8,67
12,36,2.861576,8,79
12,36,2.876669,9,79
16,27,2.858405,7,3
14,45,2.872111,7,51
14,45,2.872622,6,51
9,72,2.709020,7,56
9,72,2.718934,8,56
3,56,2.709020,7,20
15,40,2.786773,9,70
15,40,2.801423,10,70
9,73,2.709020,7,2
13,38,2.709020,7,55
13,38,2.718934,8,55
14,46,2.872111,7,5
13,39,2.709020,7,4
2,35,2.861576,8,26
12,37,2.861576,8,20
10,33,2.788205,9,74
10,33,2.802637,10,74
1,51,2.928551,7,51
1,51,2.958860,8,51
7,50,2.783660,8,72
7,50,2.789505,9,72
6,54,2.805902,6,58
6,54,2.818375,7,58
15,41,2.786773,9,27
4,52,3.191784,8,46
4,52,3.200732,9,46
7,51,2.783660,8,5
8,41,3.191784,8,44
8,41,3.200732,9,44
1,52,2.928551,7,12
4,53,3.191784,8,2
3,57,2.709020,7,52
3,57,2.718934,8,52
6,55,2.805902,6,10
8,42,3.191784,8,4
3,58,2.709020,7,2
9,74,2.709020,7,63
9,74,2.718934,8,63
17,-1,4.836145,18,0
16,28,2.858405,7,65
16,28,2.867506,8,65
13,40,2.709020,7,57
13,40,2.773949,7,57
5,32,2.840359,11,45
