Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
1,-1,3.525106,9,0
3,-1,4.689080,13,0
2,-1,4.704128,12,0
1,0,3.459833,9,2
3,0,4.640281,13,2
1,1,3.396925,8,2
1,2,3.330016,7,3
3,1,4.635261,14,9
2,0,4.291790,12,11
3,2,4.633856,13,3
3,3,4.632017,12,3
3,4,4.628122,12,3
3,5,4.626283,11,6
3,6,4.110803,12,1
3,7,3.877618,12,2
2,1,4.025910,12,14
1,3,3.320682,8,50
2,2,3.914966,11,5
2,3,3.847108,10,3
2,4,3.777780,9,2
1,4,3.242168,7,12
2,5,3.684204,8,3
3,8,3.759229,12,21
3,9,3.753085,11,6
1,5,3.238039,7,25
3,10,3.705978,11,5
2,6,3.626501,7,24
2,7,3.617736,6,10
1,6,2.865090,8,22
1,7,2.797805,9,5
3,11,3.670842,11,15
2,8,3.451755,7,34
1,8,2.792493,8,26
3,12,3.623961,10,24
2,9,3.360796,6,16
