Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
2,-1,4.778006,14,0
1,-1,4.091378,15,0
3,-1,4.548511,15,0
1,0,3.868332,16,1
2,0,4.504772,14,2
3,0,4.474411,16,3
2,1,4.446937,13,3
3,1,4.471518,16,2
1,1,3.688675,16,5
2,2,4.400855,14,3
3,2,4.414967,15,4
3,3,4.403357,15,2
2,3,4.359032,13,6
2,4,4.302214,13,1
3,4,4.339190,14,4
1,2,3.645637,15,9
3,5,4.135281,14,1
2,5,4.177062,13,2
2,6,4.150608,13,1
3,6,4.071235,13,3
3,7,3.998303,12,2
2,7,4.107776,12,6
2,8,3.864917,12,2
3,8,3.612478,12,6
3,9,3.532079,12,3
2,9,3.812365,11,3
1,3,3.601676,14,12
2,10,3.750772,10,3
3,10,3.491077,12,8
2,11,3.682641,9,10
1,4,3.554996,13,14
3,11,3.445008,12,11
2,12,3.589345,8,13
2,13,3.336609,8,3
1,5,3.520165,13,7
3,12,2.962709,12,14
2,14,3.302642,8,15
1,6,3.455234,12,17
3,13,2.873573,11,11
3,14,2.846487,11,1
1,7,3.454031,12,4
3,15,2.811082,11,3
2,15,3.242168,7,17
1,8,3.393183,11,6
1,9,3.389764,11,16
3,16,2.796196,10,17
2,16,3.145553,7,34
1,10,3.382668,10,16
1,11,3.251678,10,8
1,12,3.185691,10,10
2,17,3.126988,8,29
1,13,3.183788,10,16
2,18,3.101399,8,23
1,14,3.158940,9,9
1,15,3.151112,10,5
1,16,3.094800,10,10
3,17,2.796196,10,65
1,17,3.021707,9,3
2,19,2.843623,9,29
1,18,2.964181,8,14
2,20,2.812229,9,15
1,19,2.962163,9,51
2,21,2.805411,10,51
2,22,2.798903,9,11
2,23,2.770757,10,7
1,20,2.932423,10,62
2,24,2.770757,10,70
1,21,2.932423,10,75
