Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
12,1,4.786368,19,3
11,14,3.581378,15,9
12,2,4.692325,19,7
12,3,4.607470,19,1
12,4,4.444836,19,4
12,5,4.356403,19,3
12,6,4.326758,20,2
11,15,3.534558,14,21
8,23,2.798870,11,58
8,24,2.793962,11,3
11,16,3.411946,14,8
11,17,3.264340,14,2
12,7,4.302322,20,11
8,25,2.790170,11,14
8,26,2.787826,10,13
11,18,3.252923,13,14
12,8,4.254396,19,11
12,9,4.168697,19,3
12,10,3.962864,19,1
12,11,3.888740,19,2
11,19,3.167185,13,22
12,12,3.875009,19,2
11,20,3.148801,12,18
12,13,3.852068,19,11
12,14,3.850123,19,1
12,15,3.839293,19,1
13,-1,4.701659,18,0
13,0,4.626967,17,2
11,21,3.028096,12,20
13,1,4.553176,17,3
13,2,4.518105,16,10
13,3,4.036279,16,1
11,22,3.017584,11,22
13,4,3.940326,15,5
12,16,3.742646,18,21
13,5,3.938394,14,8
11,23,3.004521,10,18
12,17,3.667812,17,6
12,18,3.623843,17,2
12,19,3.566053,17,1
13,6,3.645445,13,7
12,20,3.521951,17,4
13,7,3.625272,13,8
12,21,3.495453,17,9
13,8,3.624252,13,14
12,22,3.329973,17,8
13,9,3.568192,13,7
14,-1,4.360345,20,0
14,0,4.333919,19,1
14,1,4.287996,19,1
12,23,3.313403,17,6
14,2,4.283143,20,1
14,3,4.030880,21,1
12,24,3.284852,17,2
14,4,3.888063,20,1
13,10,3.517197,12,11
13,11,3.462428,11,10
13,12,3.390418,11,2
12,25,3.236589,18,14
14,5,3.841449,20,14
12,26,3.200651,18,2
13,13,3.387495,10,20
12,27,3.195375,18,7
14,6,3.838449,20,10
13,14,3.386724,9,3
13,15,3.383337,10,2
13,16,3.378077,11,4
13,17,3.374404,11,4
13,18,3.371859,10,4
13,19,3.370697,11,6
12,28,3.134511,17,12
14,7,3.793294,20,16
12,29,3.051113,17,6
14,8,3.707184,19,1
13,20,3.350390,11,14
13,21,3.321235,11,23
12,30,3.050940,17,16
14,9,3.706122,19,20
12,31,3.028950,17,8
13,22,3.265086,11,17
14,10,3.668983,18,6
14,11,3.659169,17,1
14,12,3.641867,16,4
14,13,3.631301,15,1
14,14,3.609611,15,8
14,15,3.596790,15,5
12,32,3.024905,17,22
14,16,3.590104,15,16
14,17,3.584827,14,18
12,33,3.023833,18,24
13,23,3.227098,11,71
12,34,2.989525,18,3
14,18,3.570770,14,10
14,19,3.559910,13,4
12,35,2.948785,17,8
12,36,2.909228,17,5
14,20,3.515124,13,17
12,37,2.899235,16,6
14,21,3.503395,13,10
14,22,3.467815,13,1
12,38,2.868673,16,4
14,23,3.425806,12,4
14,24,3.364510,12,11
14,25,3.350468,12,2
14,26,3.338660,11,3
14,27,3.278383,10,18
15,-1,4.333045,19,0
15,0,4.161969,19,3
15,1,4.121918,19,3
15,2,4.092172,19,2
15,3,4.047300,19,2
12,39,2.841206,15,36
12,40,2.825361,15,6
16,-1,3.781164,17,0
15,4,4.012941,19,12
15,5,3.620190,19,7
16,0,3.778083,18,13
16,1,3.769671,17,2
12,41,2.812053,16,17
16,2,3.760610,16,6
15,6,3.570535,18,10
16,3,3.751513,16,6
16,4,3.695841,15,3
15,7,3.527502,17,7
16,5,3.695412,15,1
16,6,3.690607,16,3
16,7,3.684468,15,4
15,8,3.476821,17,7
16,8,3.582218,15,2
16,9,3.528323,15,1
16,10,3.515874,14,2
16,11,3.508548,13,10
16,12,3.500028,12,5
12,42,2.811962,16,30
16,13,3.497474,13,3
16,14,3.461224,13,2
16,15,3.443190,13,3
16,16,3.437832,12,3
16,17,3.370679,12,3
16,18,3.356598,11,3
16,19,3.285755,11,8
16,20,3.030433,10,4
12,43,2.802906,15,22
15,9,3.418052,17,47
12,44,2.799666,15,15
17,-1,4.414382,18,0
17,0,4.394531,18,1
17,1,4.364089,17,5
12,45,2.797034,14,19
17,2,4.362907,16,4
17,3,3.922694,17,1
12,46,2.788057,14,3
17,4,3.695055,17,6
15,10,3.415738,17,45
17,5,3.589407,17,2
17,6,3.504668,17,12
15,11,3.295393,17,19
15,12,3.246042,16,6
17,7,3.443781,16,13
17,8,3.372562,15,15
12,47,2.786842,14,58
17,9,3.223992,14,25
17,10,3.140729,14,13
17,11,3.091857,14,4
18,-1,5.089290,17,0
18,0,4.953264,17,1
18,1,4.951837,17,2
18,2,4.707741,17,2
17,12,3.040640,14,38
18,3,4.703427,17,10
17,13,2.922356,13,7
18,4,4.557678,17,2
18,5,4.491387,17,4
17,14,2.893069,13,10
18,6,4.279096,17,4
18,7,4.249286,17,3
19,-1,5.595499,19,0
19,0,5.417829,19,1
19,1,5.370160,19,1
19,2,5.311559,19,6
19,3,5.310555,19,3
18,8,4.180487,16,11
18,9,3.998482,16,4
17,15,2.881958,12,28
19,4,5.250632,18,8
19,5,4.642638,18,2
19,6,4.582985,19,1
18,10,3.919564,16,7
19,7,4.380243,19,2
19,8,4.341544,19,1
18,11,3.886467,15,3
19,9,4.323230,19,4
17,16,2.832996,12,19
18,12,3.734435,15,8
18,13,3.701361,14,6
19,10,4.250158,19,10
19,11,4.078343,19,1
19,12,3.688200,19,2
18,14,3.667693,14,4
18,15,3.660448,14,1
18,16,3.375007,14,2
19,13,3.643752,18,3
18,17,3.309174,14,1
17,17,2.822963,11,27
19,14,3.633083,17,6
19,15,3.631118,17,2
19,16,3.622980,16,1
19,17,3.618448,16,1
18,18,3.278771,14,15
19,18,3.609329,15,3
18,19,3.272402,14,2
19,19,3.574134,15,5
18,20,3.243243,14,5
18,21,3.236356,14,1
18,22,3.131148,14,2
18,23,3.082657,14,3
19,20,3.573155,14,6
19,21,3.528085,14,16
19,22,3.352068,14,2
19,23,3.185276,15,4
19,24,3.181361,15,5
19,25,3.129656,15,5
20,-1,4.791240,19,0
20,0,4.734961,19,5
20,1,4.679996,19,3
20,2,3.613840,19,3
19,26,3.129226,14,16
20,3,3.500042,18,6
20,4,3.342611,17,7
19,27,3.128788,13,13
21,-1,4.470136,17,0
20,5,3.265908,17,10
21,0,3.855719,18,2
21,1,3.834891,18,1
19,28,3.124661,12,14
19,29,3.124226,11,5
19,30,3.068323,10,14
20,6,3.250912,16,16
20,7,3.134709,16,6
21,2,3.831532,18,25
21,3,3.822314,18,1
19,31,3.055143,11,22
21,4,3.796330,18,2
20,8,3.117995,15,20
19,32,3.039620,12,25
21,5,3.783061,17,13
19,33,2.999037,12,1
20,9,3.090486,15,4
19,34,2.983813,12,1
21,6,3.716348,16,8
19,35,2.983274,11,20
21,7,3.622717,17,17
20,10,3.081537,14,34
19,36,2.915593,10,27
21,8,3.542008,17,26
20,11,3.061112,15,36
21,9,3.529355,17,11
20,12,2.976191,15,9
21,10,3.525979,17,8
20,13,2.928551,14,11
22,-1,4.458173,19,0
21,11,3.516389,17,12
22,0,4.257388,19,5
22,1,4.071829,19,1
22,2,4.045187,19,1
22,3,4.042837,19,5
21,12,3.167642,17,9
22,4,4.011362,18,8
22,5,3.671861,18,8
21,13,3.154874,18,22
21,14,3.085380,18,5
22,6,3.667122,18,12
22,7,3.624482,18,4
22,8,3.571759,18,5
23,-1,3.901090,17,0
21,15,3.056078,18,17
23,0,3.865258,16,4
23,1,3.718219,16,4
22,9,3.546282,17,14
22,10,3.514317,17,2
22,11,3.454181,17,1
23,2,3.692192,15,5
23,3,3.644364,15,2
22,12,3.425999,16,4
22,13,3.393728,16,4
21,16,3.045002,18,15
23,4,3.449493,14,7
23,5,3.409797,13,4
23,6,3.405186,13,3
21,17,2.986821,17,8
22,14,3.362116,15,11
23,7,3.330222,13,14
23,8,3.326333,12,3
22,15,3.355758,14,20
21,18,2.978950,17,21
23,9,3.313992,11,28
23,10,3.310755,12,16
22,16,3.292916,14,25
22,17,3.263880,13,2
21,19,2.973615,16,30
22,18,3.256660,12,25
21,20,2.966789,15,11
22,19,3.249537,11,20
21,21,2.955102,14,12
21,22,2.950223,14,2
24,-1,3.531787,19,0
24,0,3.499646,19,4
24,1,3.499003,19,2
22,20,3.243628,10,30
21,23,2.941262,13,15
24,2,3.493619,18,4
24,3,3.491465,18,1
24,4,3.446743,18,5
21,24,2.927278,12,13
24,5,3.441032,17,6
24,6,3.365891,17,6
22,21,3.231211,10,47
24,7,3.340571,17,6
24,8,3.295214,17,2
24,9,3.291640,16,17
21,25,2.919370,11,51
22,22,3.213611,11,46
21,26,2.914974,11,6
24,10,3.237238,16,6
24,11,3.234543,15,1
24,12,3.231839,14,3
24,13,3.117389,14,6
24,14,3.111032,13,7
24,15,3.103909,12,9
24,16,3.096587,11,15
24,17,3.088826,10,22
24,18,3.030963,10,3
25,-1,3.656962,19,0
26,-1,5.107344,19,0
26,0,4.933193,18,4
25,0,3.555827,18,7
24,19,2.949959,10,18
25,1,3.483551,18,1
24,20,2.947118,10,2
26,1,4.849495,18,3
24,21,2.937845,9,4
26,2,4.823939,18,2
26,3,4.774076,18,2
25,2,3.473693,17,9
24,22,2.917397,8,17
26,4,4.766422,17,7
24,23,2.909579,7,22
25,3,3.462388,16,10
25,4,3.439628,15,5
26,5,4.724774,17,12
25,5,3.402970,15,6
24,24,2.898468,7,30
26,6,4.712979,16,5
26,7,4.689080,15,3
26,8,4.640281,15,1
26,9,4.559734,16,1
25,6,3.397585,14,8
26,10,4.543364,16,3
26,11,4.511284,16,7
26,12,4.398798,16,1
27,-1,3.781694,19,0
26,13,4.189600,16,3
27,0,3.740744,19,4
26,14,3.880429,16,2
26,15,3.788343,16,2
26,16,3.666842,16,1
26,17,3.645356,15,3
27,1,3.687804,19,7
27,2,3.545732,19,1
25,7,3.361329,13,36
26,18,3.642555,14,8
26,19,3.575494,14,3
27,3,3.452275,19,7
26,20,3.546201,14,4
26,21,3.516496,14,2
25,8,3.352252,12,19
25,9,3.329961,12,6
25,10,3.326080,12,2
26,22,3.510250,13,10
25,11,3.312164,11,11
25,12,3.114593,11,17
26,23,3.475499,12,23
27,4,3.389260,19,37
25,13,3.056014,10,21
26,24,3.380734,11,11
26,25,3.341926,11,6
26,26,3.335310,12,9
25,14,3.044389,11,55
25,15,3.036565,10,15
26,27,3.287241,11,35
27,5,3.314423,18,52
26,28,2.972835,11,36
26,29,2.931205,10,2
28,-1,4.356883,18,0
28,0,4.240246,18,3
26,30,2.930175,10,25
26,31,2.866290,10,9
28,1,4.146575,18,20
28,2,4.085587,17,10
26,32,2.810715,10,59
29,-1,3.992594,20,0
29,0,3.988284,19,3
29,1,3.936974,18,1
29,2,3.901889,18,34
30,-1,3.950456,16,0
29,3,3.850397,18,1
30,0,3.942798,15,2
29,4,3.763528,19,2
30,1,3.933636,14,2
30,2,3.853307,13,3
31,-1,4.299098,19,0
30,3,3.587879,13,1
31,0,4.144257,19,2
31,1,4.097311,19,2
30,4,3.579474,12,9
31,2,4.093863,18,2
31,3,4.073261,17,1
31,4,4.070604,18,1
30,5,3.575271,11,5
30,6,3.568437,11,1
31,5,4.061231,18,1
30,7,3.536859,10,2
30,8,3.382587,10,3
30,9,3.339251,11,3
29,5,3.744402,19,24
31,6,3.967032,18,10
30,10,3.338897,10,12
30,11,3.325825,10,1
29,6,3.709285,18,16
30,12,3.278627,10,29
31,7,3.957654,18,16
29,7,3.702537,18,9
31,8,3.946981,18,2
30,13,3.278196,9,18
29,8,3.670193,17,16
29,9,3.378730,17,3
29,10,3.307951,16,3
31,9,3.936622,18,17
29,11,3.267375,15,10
30,14,3.143823,9,54
29,12,3.266503,15,10
30,15,3.134636,9,11
30,16,3.048616,10,5
30,17,3.027307,10,3
31,10,3.850536,18,22
30,18,2.963221,10,4
29,13,3.238397,15,12
30,19,2.935034,10,6
30,20,2.906803,9,6
29,14,3.234370,15,6
31,11,3.800187,17,8
29,15,3.150803,15,4
31,12,3.746214,16,3
31,13,3.743292,16,1
30,21,2.894079,8,14
31,14,3.683998,16,4
31,15,3.660637,16,3
31,16,3.502900,16,3
29,16,3.081823,16,16
31,17,3.480739,15,7
29,17,3.058790,16,8
31,18,3.455968,14,16
30,22,2.856843,8,63
29,18,3.050600,15,22
29,19,3.042078,14,21
32,-1,4.755724,19,0
32,0,4.035436,18,1
32,1,3.999271,17,1
31,19,3.446107,15,43
32,2,3.843919,17,8
32,3,3.807650,16,8
29,20,3.036584,14,22
32,4,3.806451,16,2
29,21,3.032338,14,3
32,5,3.800618,16,4
32,6,3.764132,15,2
32,7,3.669450,16,1
32,8,3.639801,16,5
32,9,3.594016,16,4
29,22,3.023925,13,20
31,20,3.426982,15,39
31,21,3.296533,15,2
32,10,3.593725,16,10
29,23,2.997572,13,14
32,11,3.573878,15,12
32,12,3.531568,15,1
31,22,3.250738,15,14
31,23,3.213966,15,9
31,24,3.174000,15,1
32,13,3.512864,14,12
29,24,2.988944,12,25
32,14,3.313767,14,4
32,15,3.242339,14,10
32,16,3.123587,14,5
32,17,3.105808,13,2
32,18,3.032253,13,3
32,19,2.938389,12,3
29,25,2.981422,11,29
32,20,2.932835,12,4
31,25,3.153197,14,33
32,21,2.918667,11,8
29,26,2.909548,11,28
32,22,2.907133,10,21
32,23,2.880502,9,13
29,27,2.900819,10,35
31,26,3.113268,15,45
33,-1,5.220736,20,0
33,0,5.200228,20,2
33,1,5.188722,19,1
33,2,5.180062,18,2
33,3,5.167355,17,1
33,4,4.880546,17,2
33,5,4.870090,16,3
33,6,4.840600,17,2
33,7,4.162436,17,1
31,27,3.109261,16,47
29,28,2.896615,11,80
33,8,4.079594,17,6
33,9,3.773134,16,2
33,10,3.700855,16,1
33,11,3.651922,15,7
33,12,3.595999,14,3
33,13,3.471167,13,11
33,14,3.426905,13,11
29,29,2.892838,11,59
33,15,3.322209,14,20
33,16,3.300615,13,34
34,-1,4.678451,18,0
34,0,4.323035,17,2
34,1,4.285020,17,3
35,-1,4.888266,19,0
34,2,4.263098,18,2
35,0,4.586125,19,1
33,17,3.297513,12,46
35,1,4.553626,18,5
35,2,4.546336,18,3
35,3,3.568650,18,6
34,3,4.184747,18,17
35,4,3.543140,18,2
35,5,3.536371,18,1
35,6,3.523277,19,2
34,4,4.147827,18,7
35,7,3.451467,18,3
34,5,4.112082,17,10
35,8,3.442181,17,8
33,18,3.283825,12,59
35,9,3.432483,16,12
34,6,3.765395,17,21
34,7,3.707391,16,1
35,10,3.418956,16,6
34,8,3.704088,15,2
35,11,3.372364,16,4
34,9,3.702782,14,4
35,12,3.304432,16,7
34,10,3.590912,14,12
34,11,3.545054,15,3
35,13,3.271157,16,6
34,12,3.526754,15,2
34,13,3.526145,16,7
35,14,3.251291,16,11
35,15,3.241147,15,3
36,-1,4.846986,18,0
36,0,4.664517,17,2
36,1,4.302754,16,1
34,14,3.525926,15,15
36,2,4.176856,16,6
36,3,4.168420,16,7
34,15,3.299963,14,22
36,4,4.090990,16,8
34,16,3.122107,14,6
36,5,4.055386,16,5
34,17,3.087619,14,8
36,6,4.037777,15,2
36,7,3.956692,16,3
36,8,3.891478,16,1
34,18,3.022794,14,8
36,9,3.882520,15,8
34,19,2.885556,14,17
36,10,3.835108,16,10
36,11,3.789606,15,3
36,12,3.343333,15,1
34,20,2.826685,13,6
36,13,3.334732,16,2
36,14,3.293264,16,1
37,-1,4.634794,17,0
37,0,4.590085,16,2
36,15,3.239662,15,5
37,1,4.558535,17,3
37,2,4.547562,16,2
37,3,4.403966,16,2
36,16,3.181767,14,11
34,21,2.824417,12,25
37,4,3.631168,17,9
37,5,3.607513,17,1
36,17,3.178950,14,7
37,6,3.336600,17,4
37,7,3.277609,16,4
37,8,3.203981,15,3
34,22,2.821184,11,18
37,9,3.134692,15,3
37,10,3.083992,15,1
34,23,2.818596,10,9
36,18,3.114466,13,23
