Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
18,3,3.169664,18,98
16,16,2.854675,10,84
17,7,3.132940,16,66
16,17,2.814886,10,78
16,18,2.793861,10,64
17,8,3.117877,15,68
18,4,3.120549,18,97
16,19,2.788795,9,63
16,20,2.775291,9,56
17,9,3.103034,14,70
16,21,2.768448,9,68
18,5,2.986519,18,94
16,22,2.765763,9,55
17,10,3.101516,13,71
16,23,2.746351,9,59
17,11,3.051550,13,55
16,24,2.742145,8,63
18,6,2.907654,17,97
19,-1,5.595499,19,0
17,12,3.041804,12,71
17,13,3.026523,13,66
18,7,2.876585,18,98
19,0,4.486008,19,83
17,14,3.015595,13,62
17,15,2.968542,14,77
19,1,4.182187,18,84
18,8,2.855676,19,97
17,16,2.953962,13,77
20,-1,4.791240,19,0
19,2,4.056904,17,86
18,9,2.827815,18,96
19,3,3.855235,17,87
20,0,3.765593,20,89
18,10,2.793518,18,95
19,4,3.641946,16,87
18,11,2.767470,19,98
20,1,3.462158,20,83
19,5,3.554520,15,82
18,12,2.725196,18,96
20,2,3.367996,19,93
19,6,3.504763,15,88
21,-1,4.470136,17,0
20,3,3.261546,18,86
19,7,3.460629,14,86
21,0,3.855719,18,92
20,4,3.218872,18,81
19,8,3.334124,14,86
21,1,3.561484,18,96
19,9,3.290693,13,87
20,5,3.170903,17,85
19,10,3.226224,12,81
21,2,3.479853,18,94
20,6,3.124988,16,86
19,11,3.183741,11,70
19,12,3.172970,10,76
21,3,3.398917,18,86
20,7,3.075739,15,88
19,13,3.123895,11,74
20,8,3.068094,14,77
21,4,3.350956,17,89
19,14,3.122252,10,82
22,-1,4.458173,19,0
20,9,3.060230,13,77
21,5,3.302642,17,86
23,-1,3.901090,17,0
22,0,3.978871,20,87
21,6,3.242168,16,87
23,0,3.646526,17,88
24,-1,3.531787,19,0
22,1,3.757043,21,89
23,1,3.553914,16,90
24,0,3.384068,19,95
22,2,3.681813,20,87
23,2,3.495212,16,86
24,1,3.252601,18,95
23,3,3.420262,16,88
22,3,3.590942,19,93
23,4,3.251785,15,95
24,2,3.121382,17,94
22,4,3.490557,18,83
23,5,3.151460,14,91
24,3,3.036940,16,93
22,5,3.428059,19,87
23,6,3.081073,13,85
24,4,2.984989,15,90
23,7,3.018196,12,89
22,6,3.270953,18,92
24,5,2.976372,14,90
23,8,2.957386,11,80
22,7,3.207213,18,88
24,6,2.962836,13,90
23,9,2.876669,10,82
23,10,2.861576,9,84
24,7,2.947110,13,82
22,8,3.139301,18,86
25,-1,3.656962,19,0
24,8,2.933400,12,79
22,9,3.083546,17,87
25,0,3.555827,18,84
24,9,2.907533,11,80
24,10,2.875509,12,65
25,1,3.424990,18,79
22,10,3.020963,16,88
24,11,2.828569,12,72
24,12,2.817221,11,65
25,2,3.316483,17,94
22,11,2.992798,16,86
24,13,2.809355,10,72
25,3,3.201457,18,86
22,12,2.970385,16,88
26,-1,5.107344,19,0
25,4,3.140877,17,86
22,13,2.952943,15,91
26,0,4.214352,20,87
22,14,2.939493,14,90
