runID,runNumber,RuleCount,NTerminalCount,seed,stepsTaken,totalNeighborsEvaluated,bestSize,bestBitsPerBase
2_1518_35,2,1518,35,101,101,13,166,14,3.246041523304733
3_1518_36,3,1518,36,102,102,19,176,11,2.9313505600689047
4_1519_30,4,1519,30,103,103,25,114,11,2.9594635032860017
5_1519_31,5,1519,31,104,104,22,258,17,2.8032398086445167
6_1519_32,6,1519,32,105,105,6,108,11,3.1777272877523415
7_1519_33,7,1519,33,106,106,20,218,10,3.1959352200963034
8_1519_34,8,1519,34,107,107,25,279,10,2.785214329037888
9_1519_35,9,1519,35,108,108,20,427,13,2.909456579828323
10_1519_36,10,1519,36,109,109,18,345,15,2.778965245537345
1_1520_30,1,1520,30,100,100,20,321,12,2.8062533500555875
2_1520_31,2,1520,31,101,101,11,195,16,2.8612688106648743
3_1520_32,3,1520,32,102,102,10,153,14,3.9271217999484285
4_1520_33,4,1520,33,103,103,11,106,11,3.3144229562223346
5_1520_34,5,1520,34,104,104,13,160,12,3.2421680177802163
6_1520_35,6,1520,35,105,105,19,337,13,3.296050944032737
7_1520_36,7,1520,36,106,106,11,178,12,3.2590534016151436
8_1521_30,8,1521,30,107,107,9,140,14,3.180629632739329
9_1521_31,9,1521,31,108,108,16,240,11,3.1777272877523415
10_1521_32,10,1521,32,109,109,16,298,13,3.0115268203267314
1_1521_33,1,1521,33,100,100,15,207,13,3.1777272877523415
2_1521_34,2,1521,34,101,101,14,224,19,2.9117440825170364
3_1521_35,3,1521,35,102,102,24,260,15,3.1900666888049445
4_1521_36,4,1521,36,103,103,23,362,16,3.2910310729151866
5_1522_30,5,1522,30,104,104,25,300,11,2.8502289765648334
6_1522_31,6,1522,31,105,105,4,146,17,4.222338958923773
7_1522_32,7,1522,32,106,106,20,301,11,2.808960232694089
8_1522_33,8,1522,33,107,107,18,382,17,2.9267062295000716
9_1522_34,9,1522,34,108,108,14,321,10,3.170135833925576
10_1522_35,10,1522,35,109,109,19,328,12,3.1000914154970727
1_1522_36,1,1522,36,100,100,14,119,15,3.1159496679098053
2_1523_30,2,1523,30,101,101,21,279,16,3.006073191350631
3_1523_31,3,1523,31,102,102,18,367,16,2.909456579828323
4_1523_32,4,1523,32,103,103,7,110,17,3.8686741227329944
5_1523_33,5,1523,33,104,104,4,151,18,4.222338958923773
6_1523_34,6,1523,34,105,105,21,323,11,3.004274560837545
7_1523_35,7,1523,35,106,106,10,137,18,3.999081661258457
8_1523_36,8,1523,36,107,107,24,286,11,2.8645662380373627
9_1524_30,9,1524,30,108,108,24,190,7,2.9472848578857183
10_1524_31,10,1524,31,109,109,18,270,15,3.1777272877523415
1_1524_32,1,1524,32,100,100,25,355,12,2.8175522714173646
2_1524_33,2,1524,33,101,101,20,318,13,3.028503827740094
3_1524_34,3,1524,34,102,102,25,276,14,3.00989522943567
4_1524_35,4,1524,35,103,103,7,104,20,3.8686741227329944
5_1524_36,5,1524,36,104,104,20,543,10,2.980998228524303
6_1525_30,6,1525,30,105,105,18,342,10,3.132364342626528
7_1525_31,7,1525,31,106,106,16,296,15,3.291347610703906
8_1525_32,8,1525,32,107,107,25,362,15,2.7090195246981534
9_1525_33,9,1525,33,108,108,18,290,14,2.941587886870445
10_1525_34,10,1525,34,109,109,10,147,19,4.222338958923773
2_1525_35,2,1525,35,101,101,6,179,11,3.1777272877523415
3_1525_36,3,1525,36,102,102,16,168,12,2.8535672500414497
4_1526_30,4,1526,30,103,103,9,187,12,2.9308943991584497
5_1526_31,5,1526,31,104,104,6,152,10,3.7260427269844625
6_1526_32,6,1526,32,105,105,13,193,8,3.1777272877523415
7_1526_33,7,1526,33,106,106,11,166,13,3.1777272877523415
8_1526_34,8,1526,34,107,107,6,101,14,3.0286523208007052
9_1526_35,9,1526,35,108,108,11,111,11,2.819051067606634
10_1526_36,10,1526,36,109,109,6,156,12,3.806028232916967
1_1527_30,1,1527,30,100,100,16,339,13,2.8701774134742513
2_1527_31,2,1527,31,101,101,8,231,14,3.9123718781636465
3_1527_32,3,1527,32,102,102,3,93,14,4.222338958923773
4_1527_33,4,1527,33,103,103,2,79,15,4.222338958923773
5_1527_34,5,1527,34,104,104,14,233,10,2.994528966815542
6_1527_35,6,1527,35,105,105,12,176,11,3.1777272877523415
7_1527_36,7,1527,36,106,106,13,216,14,3.2781844374640436
8_1528_30,8,1528,30,107,107,10,198,14,2.925629577865147
9_1528_31,9,1528,31,108,108,13,197,10,2.880748695652003
10_1528_32,10,1528,32,109,109,5,101,15,3.2563718735316085
1_1528_33,1,1528,33,100,100,15,193,12,3.0709263017366255
2_1528_34,2,1528,34,101,101,11,117,13,3.1777272877523415
3_1528_35,3,1528,35,102,102,12,226,11,3.1842632840183644
4_1528_36,4,1528,36,103,103,21,203,11,2.7187786729471997
5_1529_30,5,1529,30,104,104,12,189,11,3.2967542616027354
6_1529_31,6,1529,31,105,105,2,142,16,4.222338958923773
7_1529_32,7,1529,32,106,106,11,169,16,3.3466297846625253
8_1529_33,8,1529,33,107,107,9,142,12,2.7927808997910417
9_1529_34,9,1529,34,108,108,21,308,11,3.3642680557819586
10_1529_35,10,1529,35,109,109,13,243,12,3.2627361246923514
1_1529_36,1,1529,36,100,100,15,261,14,2.812412133771749
2_1530_30,2,1530,30,101,101,13,168,13,3.269227001729258
3_1530_31,3,1530,31,102,102,10,231,13,3.1887375783995893
4_1530_32,4,1530,32,103,103,12,156,11,3.540862151310954
5_1530_33,5,1530,33,104,104,25,374,14,3.0182983093345968
6_1530_34,6,1530,34,105,105,8,207,16,3.319259739067637
7_1530_35,7,1530,35,106,106,11,248,16,3.407392773877796
8_1530_36,8,1530,36,107,107,8,143,15,3.0286523208007052
9_1531_30,9,1531,30,108,108,9,198,18,3.3736250857019696
10_1531_31,10,1531,31,109,109,10,137,16,2.85315183403144
1_1531_32,1,1531,32,100,100,13,271,15,3.261262636548672
2_1531_33,2,1531,33,101,101,14,240,15,3.1777272877523415
3_1531_34,3,1531,34,102,102,24,300,14,2.994215570126522
4_1531_35,4,1531,35,103,103,12,198,18,3.4194412953868527
5_1531_36,5,1531,36,104,104,14,289,16,3.1632900000804196
6_1532_30,6,1532,30,105,105,16,203,11,3.2259262537686064
7_1532_31,7,1532,31,106,106,15,191,16,3.1342511903519976
8_1532_32,8,1532,32,107,107,16,179,16,3.226916985342788
9_1532_33,9,1532,33,108,108,23,202,12,3.1643568115525897
10_1532_34,10,1532,34,109,109,23,225,11,2.8315227376454644
1_1532_35,1,1532,35,100,100,14,358,17,3.3323355378017947
2_1532_36,2,1532,36,101,101,15,222,16,3.1777272877523415
3_1533_30,3,1533,30,102,102,25,365,16,2.8364203396994325
4_1533_31,4,1533,31,103,103,25,342,11,2.9972414223418173
5_1533_32,5,1533,32,104,104,16,382,17,3.1777272877523415
6_1533_33,6,1533,33,105,105,19,165,12,3.4863990854931965
7_1533_34,7,1533,34,106,106,21,444,14,2.70593455746751
8_1533_35,8,1533,35,107,107,25,232,14,3.192239028189588
9_1533_36,9,1533,36,108,108,14,255,11,2.8708499849708238
10_1534_30,10,1534,30,109,109,12,191,15,2.8423619079359974
4_1534_31,4,1534,31,103,103,3,89,14,4.3248671074482905
5_1534_32,5,1534,32,104,104,12,145,13,3.1401639406120996
6_1534_33,6,1534,33,105,105,25,259,14,2.9045218860953823
3_1534_34,3,1534,34,102,102,6,160,15,4.26966046401339
5_1534_35,5,1534,35,104,104,3,109,16,4.222338958923773
6_1534_36,6,1534,36,105,105,8,172,15,3.063255061899074
7_1535_30,7,1535,30,106,106,3,130,16,4.222338958923773
9_1535_31,9,1535,31,108,108,8,191,15,3.767727854588825
4_1535_32,4,1535,32,103,103,10,158,16,3.3144229562223346
5_1535_33,5,1535,33,104,104,21,309,15,2.9380695354006057
6_1535_34,6,1535,34,105,105,23,415,13,2.8181823243754405
7_1535_35,7,1535,35,106,106,3,153,16,4.222338958923773
8_1535_36,8,1535,36,107,107,25,331,14,3.315612404807596
9_1536_30,9,1536,30,108,108,12,178,16,3.311594230035254
2_1536_31,2,1536,31,101,101,18,376,13,3.0000854807712907
5_1536_32,5,1536,32,104,104,24,331,13,2.807541876621466
6_1536_33,6,1536,33,105,105,6,140,15,3.1777272877523415
7_1536_34,7,1536,34,106,106,2,97,18,4.222338958923773
8_1536_35,8,1536,35,107,107,9,139,16,3.9238128123498677
10_1536_36,10,1536,36,109,109,23,333,11,2.825107807916001
2_1537_30,2,1537,30,101,101,24,334,13,2.8560969251507706
3_1537_31,3,1537,31,102,102,14,393,18,2.931603442352372
5_1537_32,5,1537,32,104,104,10,131,16,2.8377065175666876
6_1537_33,6,1537,33,105,105,15,224,15,3.3736250857019696
7_1537_34,7,1537,34,106,106,10,110,16,3.1777272877523415
8_1537_35,8,1537,35,107,107,7,127,17,4.210523782159543
9_1537_36,9,1537,36,108,108,25,258,13,3.0625876025876893
1_1538_30,1,1538,30,100,100,14,210,17,3.181109663343198
2_1538_31,2,1538,31,101,101,21,375,16,3.0552724247299112
3_1538_32,3,1538,32,102,102,25,334,16,2.9262981313910252
4_1538_33,4,1538,33,103,103,19,266,16,3.2620437433363083
5_1538_34,5,1538,34,104,104,15,197,16,2.8882714829173533
6_1538_35,6,1538,35,105,105,9,184,16,3.1777272877523415
7_1538_36,7,1538,36,106,106,5,178,17,3.3658738267343007
8_1539_30,8,1539,30,107,107,19,291,15,3.130658957754442
9_1539_31,9,1539,31,108,108,20,276,19,3.307893020929649
10_1539_32,10,1539,32,109,109,19,249,15,3.139873294542381
2_1539_33,2,1539,33,101,101,25,373,12,2.877287057511376
10_1539_34,10,1539,34,109,109,4,83,15,4.222338958923773
1_1539_35,1,1539,35,100,100,2,99,16,4.222338958923773
2_1539_36,2,1539,36,101,101,13,277,15,2.999485224929321
9_1540_30,9,1540,30,108,108,3,99,16,4.222338958923773
2_1540_31,2,1540,31,101,101,20,446,13,2.7888855461188196
9_1540_32,9,1540,32,108,108,7,90,18,4.222338958923773
9_1540_33,9,1540,33,108,108,7,142,17,3.3144229562223346
10_1540_34,10,1540,34,109,109,3,107,18,4.222338958923773
2_1540_35,2,1540,35,101,101,15,268,15,2.851796954337017
6_1540_36,6,1540,36,105,105,25,146,17,3.302919114800043
9_1541_30,9,1541,30,108,108,1,75,19,4.222338958923773
6_1541_31,6,1541,31,105,105,23,296,12,3.24765598750304
7_1541_32,7,1541,32,106,106,3,135,20,4.433001681052114
9_1541_33,9,1541,33,108,108,14,238,17,3.1759666106472006
10_1541_34,10,1541,34,109,109,5,109,20,4.222338958923773
