runID,runNumber,RuleCount,NTerminalCount,seed,stepsTaken,totalNeighborsEvaluated,bestSize,bestBitsPerBase
1_150_30,1,150,30,100,100,12,328,10,2.7707567301495715
2_150_31,2,150,31,101,101,11,178,6,3.3607963310940923
3_150_32,3,150,32,102,102,20,293,9,3.1777272877523415
4_150_33,4,150,33,103,103,16,200,10,3.2421680177802163
5_150_34,5,150,34,104,104,20,171,7,2.878546419240331
6_150_35,6,150,35,105,105,18,200,5,2.9472848578857183
7_150_36,7,150,36,106,106,13,135,7,3.09214736095748
8_151_30,8,151,30,107,107,22,350,8,2.8615760737612734
9_151_31,9,151,31,108,108,13,202,7,2.8789918249681246
10_151_32,10,151,32,109,109,19,257,9,2.8499626409483496
1_151_33,1,151,33,100,100,18,136,7,3.188456846793191
2_151_34,2,151,34,101,101,13,185,9,3.264262030632798
3_151_35,3,151,35,102,102,25,291,9,2.7780715649383754
4_151_36,4,151,36,103,103,15,218,12,3.2635453438254305
5_152_30,5,152,30,104,104,21,234,8,2.8676713791347423
6_152_31,6,152,31,105,105,19,219,9,3.1947758304806393
7_152_32,7,152,32,106,106,25,231,9,2.932905370601955
8_152_33,8,152,33,107,107,16,252,7,3.1808993219082717
9_152_34,9,152,34,108,108,12,159,10,3.1777272877523415
10_152_35,10,152,35,109,109,17,306,9,2.9374284445451164
1_152_36,1,152,36,100,100,11,199,7,3.1777272877523415
2_153_30,2,153,30,101,101,21,264,6,2.880748695652003
3_153_31,3,153,31,102,102,18,215,9,2.864206621692397
4_153_32,4,153,32,103,103,25,244,8,2.948390880779357
5_153_33,5,153,33,104,104,15,149,10,3.246041523304733
6_153_34,6,153,34,105,105,14,167,6,2.8561505604864177
7_153_35,7,153,35,106,106,19,334,9,3.0330871867515943
8_153_36,8,153,36,107,107,24,385,8,3.0376141803059027
9_154_30,9,154,30,108,108,25,164,9,3.122716266402251
10_154_31,10,154,31,109,109,23,424,10,2.811220422855474
1_154_32,1,154,32,100,100,25,193,9,3.013702980390453
2_154_33,2,154,33,101,101,19,337,10,2.7707567301495715
3_154_34,3,154,34,102,102,13,148,9,3.2421680177802163
4_154_35,4,154,35,103,103,17,203,8,3.740297556073796
5_154_36,5,154,36,104,104,25,291,8,2.7836604226873822
6_155_30,6,155,30,105,105,25,324,9,2.9921983348572607
7_155_31,7,155,31,106,106,14,118,6,2.897398334073204
8_155_32,8,155,32,107,107,13,209,7,3.357858855237065
9_155_33,9,155,33,108,108,25,378,9,2.8718738529865653
10_155_34,10,155,34,109,109,25,146,7,2.9465039396246313
1_155_35,1,155,35,100,100,23,340,9,3.235984840030366
2_155_36,2,155,36,101,101,20,261,7,2.8726781125034533
3_156_30,3,156,30,102,102,13,157,9,3.2421680177802163
4_156_31,4,156,31,103,103,25,127,11,3.1633688961765802
5_156_32,5,156,32,104,104,25,216,10,3.005972790021412
6_156_33,6,156,33,105,105,22,224,9,3.215985430732282
7_156_34,7,156,34,106,106,20,386,9,3.204057671444009
8_156_35,8,156,35,107,107,18,190,7,3.2421680177802163
9_156_36,9,156,36,108,108,23,239,7,2.91632208426671
10_157_30,10,157,30,109,109,25,111,7,2.9041519033243666
1_157_31,1,157,31,100,100,22,370,10,2.9324227233610656
2_157_32,2,157,32,101,101,25,359,10,2.7707567301495715
3_157_33,3,157,33,102,102,18,160,10,2.7961958361251145
4_157_34,4,157,34,103,103,25,227,9,3.6733682012934374
5_157_35,5,157,35,104,104,25,252,7,3.229606525715128
6_157_36,6,157,36,105,105,24,416,7,2.7090195246981534
7_158_30,7,158,30,106,106,8,127,12,3.1777272877523415
8_158_31,8,158,31,107,107,25,162,6,3.221336891141113
9_158_32,9,158,32,108,108,24,198,6,2.92599588648742
10_158_33,10,158,33,109,109,21,223,9,2.834731907155764
1_158_34,1,158,34,100,100,5,132,14,3.1777272877523415
2_158_35,2,158,35,101,101,15,158,9,2.871948370549394
3_158_36,3,158,36,102,102,18,216,8,2.8158844015558753
4_159_30,4,159,30,103,103,23,355,10,2.819772109543486
5_159_31,5,159,31,104,104,15,314,9,2.7803956519581536
6_159_32,6,159,32,105,105,15,247,9,3.2694589996655146
7_159_33,7,159,33,106,106,19,295,12,3.240875895617077
8_159_34,8,159,34,107,107,14,224,9,2.7754232629327915
9_159_35,9,159,35,108,108,16,193,10,3.056813811653383
10_159_36,10,159,36,109,109,10,131,11,3.1777272877523415
1_1510_30,1,1510,30,100,100,15,208,9,2.869288729230022
2_1510_31,2,1510,31,101,101,10,193,12,3.1917844084449953
3_1510_32,3,1510,32,102,102,18,289,7,2.8561505604864177
4_1510_33,4,1510,33,103,103,22,313,11,2.8382160958926406
5_1510_34,5,1510,34,104,104,19,204,8,2.9578542870026028
6_1510_35,6,1510,35,105,105,11,141,14,3.32628525545716
7_1510_36,7,1510,36,106,106,12,166,10,2.9235393895132304
8_1511_30,8,1511,30,107,107,25,407,10,2.946161159023041
9_1511_31,9,1511,31,108,108,17,222,12,2.8697084058363385
10_1511_32,10,1511,32,109,109,25,184,11,3.0561127082638784
1_1511_33,1,1511,33,100,100,15,236,12,3.4981371101363528
2_1511_34,2,1511,34,101,101,18,206,11,2.902733930282424
3_1511_35,3,1511,35,102,102,25,249,11,3.088707873828007
4_1511_36,4,1511,36,103,103,21,219,9,2.7962634369595185
5_1512_30,5,1512,30,104,104,14,148,10,2.9124491792545824
6_1512_31,6,1512,31,105,105,25,231,12,3.2266113717547813
7_1512_32,7,1512,32,106,106,15,196,9,3.1615528240710824
8_1512_33,8,1512,33,107,107,25,199,13,2.9596645860314115
9_1512_34,9,1512,34,108,108,14,243,8,2.9584712291230773
10_1512_35,10,1512,35,109,109,9,119,15,4.212124902973674
1_1512_36,1,1512,36,100,100,18,224,12,2.902733930282424
2_1513_30,2,1513,30,101,101,10,170,11,2.957959092659787
3_1513_31,3,1513,31,102,102,18,195,7,3.1777272877523415
4_1513_32,4,1513,32,103,103,14,134,10,2.880748695652003
5_1513_33,5,1513,33,104,104,10,247,12,3.1777272877523415
6_1513_34,6,1513,34,105,105,19,409,14,2.9149524735951915
7_1513_35,7,1513,35,106,106,14,149,9,3.1603177076792455
8_1513_36,8,1513,36,107,107,20,274,10,3.2421680177802163
9_1514_30,9,1514,30,108,108,20,256,13,3.2362115392225848
10_1514_31,10,1514,31,109,109,11,229,16,3.151438967923335
1_1514_32,1,1514,32,100,100,18,235,12,2.82501133194685
2_1514_33,2,1514,33,101,101,25,300,11,2.9214246813444027
3_1514_34,3,1514,34,102,102,24,385,12,2.875286440088123
4_1514_35,4,1514,35,103,103,25,337,11,2.828098756329786
5_1514_36,5,1514,36,104,104,19,270,9,2.797988699921949
6_1515_30,6,1515,30,105,105,22,348,10,2.848635323773594
7_1515_31,7,1515,31,106,106,23,295,10,2.7896192729913696
8_1515_32,8,1515,32,107,107,25,171,11,2.914866883240595
9_1515_33,9,1515,33,108,108,14,263,15,3.1777272877523415
10_1515_34,10,1515,34,109,109,25,154,11,2.916309308824305
1_1515_35,1,1515,35,100,100,25,245,9,3.0607962037467313
2_1515_36,2,1515,36,101,101,22,279,15,3.2876769555057535
3_1516_30,3,1516,30,102,102,25,193,12,3.340501456442482
4_1516_31,4,1516,31,103,103,20,272,12,3.112733238774506
5_1516_32,5,1516,32,104,104,25,234,15,2.819219125289144
6_1516_33,6,1516,33,105,105,18,244,13,3.2725251863457507
7_1516_34,7,1516,34,106,106,19,190,9,2.975437043461575
8_1516_35,8,1516,35,107,107,25,141,15,3.0750356849219114
9_1516_36,9,1516,36,108,108,25,358,13,2.9606785838381344
10_1517_30,10,1517,30,109,109,10,191,13,3.0148974420263897
1_1517_31,1,1517,31,100,100,14,258,11,3.067678965546771
2_1517_32,2,1517,32,101,101,9,117,15,4.222338958923773
3_1517_33,3,1517,33,102,102,21,366,14,2.822215049748343
4_1517_34,4,1517,34,103,103,6,170,15,3.1134474535009717
5_1517_35,5,1517,35,104,104,5,117,14,4.222338958923773
6_1517_36,6,1517,36,105,105,6,163,14,4.222338958923773
7_1518_30,7,1518,30,106,106,11,211,14,3.0606195571096713
8_1518_31,8,1518,31,107,107,25,290,13,2.8973577171780303
9_1518_32,9,1518,32,108,108,9,135,10,3.3734243639401758
10_1518_33,10,1518,33,109,109,12,233,15,2.8584054851251133
1_1518_34,1,1518,34,100,100,17,199,11,3.149736670163754
