RunID,RuleCount,NonTerminalCount,RunNumber,step,bitsPerBase,grammarSize,neighborsEvaluated
2_200_30,200,30,2,-1,4.778005754086703,14,0
1_200_31,200,31,1,-1,4.091378104007948,15,0
3_200_32,200,32,3,-1,4.548511257801325,15,0
1_201_30,201,30,1,0,3.868331757700894,16,1
2_201_31,201,31,2,0,4.504772240312895,14,2
3_201_32,201,32,3,0,4.474410975092956,16,3
2_202_30,202,30,2,1,4.446937446880125,13,3
3_202_31,202,31,3,1,4.471518266078073,16,2
1_202_32,202,32,1,1,3.688674873880781,16,5
2_203_30,203,30,2,2,4.400854924673438,14,3
3_203_31,203,31,3,2,4.414966759886997,15,4
3_203_32,203,32,3,3,4.40335747084219,15,2
2_204_30,204,30,2,3,4.3590321841127855,13,6
2_204_31,204,31,2,4,4.302214332243941,13,1
3_204_32,204,32,3,4,4.33918969778753,14,4
1_205_30,205,30,1,2,3.645636509111732,15,9
3_205_31,205,31,3,5,4.135280990072311,14,1
2_205_32,205,32,2,5,4.1770617969627395,13,2
2_206_30,206,30,2,6,4.150607786397214,13,1
3_206_31,206,31,3,6,4.07123507026763,13,3
3_206_32,206,32,3,7,3.9983026375026296,12,2
2_207_30,207,30,2,7,4.107776365136094,12,6
2_207_31,207,31,2,8,3.8649170264596124,12,2
3_207_32,207,32,3,8,3.612478168797701,12,6
3_208_30,208,30,3,9,3.5320791737784885,12,3
2_208_31,208,31,2,9,3.812364792222064,11,3
1_208_32,208,32,1,3,3.601676497511955,14,12
2_209_30,209,30,2,10,3.750771761523272,10,3
3_209_31,209,31,3,10,3.491076749732479,12,8
2_209_32,209,32,2,11,3.6826408539098336,9,10
1_2010_30,2010,30,1,4,3.5549961347738903,13,14
3_2010_31,2010,31,3,11,3.445008193770295,12,11
2_2010_32,2010,32,2,12,3.5893451067140782,8,13
2_2011_30,2011,30,2,13,3.3366093282319165,8,3
1_2011_31,2011,31,1,5,3.520164529561513,13,7
3_2011_32,2011,32,3,12,2.962708895362093,12,14
2_2012_30,2012,30,2,14,3.302641667852071,8,15
1_2012_31,2012,31,1,6,3.4552343145063347,12,17
3_2012_32,2012,32,3,13,2.8735729167877437,11,11
3_2013_30,2013,30,3,14,2.8464868352990758,11,1
1_2013_31,2013,31,1,7,3.4540314531600314,12,4
3_2013_32,2013,32,3,15,2.811082407912693,11,3
2_2014_30,2014,30,2,15,3.2421680177802163,7,17
1_2014_31,2014,31,1,8,3.3931825820753625,11,6
1_2014_32,2014,32,1,9,3.389763978936306,11,16
3_2015_30,2015,30,3,16,2.7961958361251145,10,17
2_2015_31,2015,31,2,16,3.145552747848114,7,34
1_2015_32,2015,32,1,10,3.3826677196513626,10,16
1_2016_30,2016,30,1,11,3.2516780439910886,10,8
1_2016_31,2016,31,1,12,3.1856913011668886,10,10
2_2016_32,2016,32,2,17,3.126987751810601,8,29
1_2017_30,2017,30,1,13,3.183787607984143,10,16
2_2017_31,2017,31,2,18,3.1013990896173262,8,23
1_2017_32,2017,32,1,14,3.158939897643915,9,9
1_2018_30,2018,30,1,15,3.1511119432271766,10,5
1_2018_31,2018,31,1,16,3.094800468509366,10,10
3_2018_32,2018,32,3,17,2.7961958361251145,10,65
1_2019_30,2019,30,1,17,3.0217067388444887,9,3
2_2019_31,2019,31,2,19,2.8436230891444034,9,29
1_2019_32,2019,32,1,18,2.9641806542970714,8,14
2_2020_30,2020,30,2,20,2.812228995070137,9,15
1_2020_31,2020,31,1,19,2.9621630731923996,9,51
2_2020_32,2020,32,2,21,2.8054106419946665,10,51
2_2021_30,2021,30,2,22,2.798903230705074,9,11
2_2021_31,2021,31,2,23,2.7707567301495715,10,7
1_2021_32,2021,32,1,20,2.9324227233610656,10,62
2_2022_30,2022,30,2,24,2.7707567301495715,10,70
1_2022_31,2022,31,1,21,2.9324227233610656,10,75
