RunID,RuleCount,NonTerminalCount,RunNumber,step,bitsPerBase,grammarSize,neighborsEvaluated
3_16_3,16,3,3,-1,5.10100293612259,13,0
2_17_3,17,3,2,-1,4.297840525363743,12,0
1_18_3,18,3,1,-1,3.6669563547398707,11,0
3_18_3,18,3,3,0,4.477174641961021,13,1
1_18_3,18,3,1,0,3.459832824776021,11,5
3_18_3,18,3,3,1,4.009231221244884,13,7
2_18_3,18,3,2,0,4.259583082046437,12,10
1_18_3,18,3,1,1,3.312517652791944,11,4
2_18_3,18,3,2,1,4.231026632282907,12,6
3_18_3,18,3,3,2,3.762045374907565,13,10
2_18_3,18,3,2,2,4.137191700347726,13,5
1_18_3,18,3,1,2,3.252932778324808,10,12
3_18_3,18,3,3,3,3.697145384158701,12,7
1_18_3,18,3,1,3,3.209572624335182,10,4
1_18_3,18,3,1,4,3.177239889862387,10,1
3_18_3,18,3,3,4,3.5902542504486847,12,3
3_18_3,18,3,3,5,3.5795341623635273,12,4
3_18_3,18,3,3,6,3.4870710559016027,12,1
2_18_3,18,3,2,3,4.025537702419446,14,14
1_18_3,18,3,1,5,3.138139512943771,10,9
2_18_3,18,3,2,4,3.924170437016784,14,4
3_18_3,18,3,3,7,3.4266448657477966,11,10
2_18_3,18,3,2,5,3.9120180705229424,14,2
2_18_3,18,3,2,6,3.8135477128151765,14,2
3_18_3,18,3,3,8,3.1845831422828583,11,6
1_18_3,18,3,1,6,3.0781020858369876,9,13
3_18_3,18,3,3,9,3.143871026056781,11,1
1_18_3,18,3,1,7,2.987945626042058,10,8
2_18_3,18,3,2,7,3.7933721597872943,14,9
2_18_3,18,3,2,8,3.759116626337531,14,3
1_18_3,18,3,1,8,2.9124992260387383,9,7
2_18_3,18,3,2,9,3.7543200654060493,14,2
2_18_3,18,3,2,10,3.717199022411448,14,1
3_18_3,18,3,3,10,3.1333034084188895,10,18
2_18_3,18,3,2,11,3.5611558897857494,14,6
3_18_3,18,3,3,11,3.1293906426122753,10,10
2_18_3,18,3,2,12,3.5606387565736863,14,3
2_18_3,18,3,2,13,3.514795791132714,14,2
2_18_3,18,3,2,14,3.5134081269729007,14,1
2_18_3,18,3,2,15,3.4773399585276716,14,2
2_18_3,18,3,2,16,3.469636815456473,14,1
1_18_3,18,3,1,9,2.8962564103864668,8,28
2_18_3,18,3,2,17,3.4165918597784466,13,4
3_18_3,18,3,3,12,3.121711470996157,11,16
2_18_3,18,3,2,18,3.3695013980150432,12,7
1_18_3,18,3,1,10,2.864671020496107,7,20
1_18_3,18,3,1,11,2.832099858250114,7,4
2_18_3,18,3,2,19,3.3652003583969994,11,17
3_18_3,18,3,3,13,3.094648114919707,11,27
3_18_3,18,3,3,14,3.089817935859109,11,1
2_18_3,18,3,2,20,3.331251100931643,11,11
3_18_3,18,3,3,15,3.058192022932811,10,17
3_18_3,18,3,3,16,3.0087517465065665,10,1
1_18_3,18,3,1,12,2.832099858250114,7,56
4_19_3,19,3,4,-1,4.29175243718886,14,0
2_19_3,19,3,2,21,3.1305147586046975,11,17
3_19_3,19,3,3,17,3.008418043330137,11,10
4_19_3,19,3,4,0,4.259774430813992,13,6
4_19_3,19,3,4,1,4.256169668055065,13,4
2_19_3,19,3,2,22,3.1302632470940353,11,11
3_19_3,19,3,3,18,2.9886652906675804,10,14
3_19_3,19,3,3,19,2.978618680148028,10,4
4_19_3,19,3,4,2,4.222354334351563,12,6
3_19_3,19,3,3,20,2.922616006847464,9,5
4_19_3,19,3,4,3,4.215562818772552,12,4
3_19_3,19,3,3,21,2.898412093327581,9,5
4_19_3,19,3,4,4,3.982719287903519,12,2
3_19_3,19,3,3,22,2.8891353406803915,8,7
2_19_3,19,3,2,23,3.06931727019861,10,17
2_19_3,19,3,2,24,3.049120003509341,10,4
4_19_3,19,3,4,5,3.8474738026264643,12,8
3_19_3,19,3,3,23,2.8789918249681246,7,13
4_19_3,19,3,4,6,3.730247418242528,12,4
4_19_3,19,3,4,7,3.568691144268233,11,12
4_19_3,19,3,4,8,3.515272158351353,10,4
3_19_3,19,3,3,24,2.8789918249681246,7,46
5_20_3,20,3,5,-1,3.894142080884669,13,0
4_20_3,20,3,4,9,3.4298262810423696,10,7
5_20_3,20,3,5,0,3.826976074324599,12,1
5_20_3,20,3,5,1,3.5240773717223752,13,1
4_20_3,20,3,4,10,3.3346706817555596,10,4
5_20_3,20,3,5,2,3.4560650361341865,12,5
4_20_3,20,3,4,11,3.2869046133659796,9,13
4_20_3,20,3,4,12,3.227307821941678,9,3
5_20_3,20,3,5,3,3.2435970960356664,13,12
4_20_3,20,3,4,13,3.1777272877523415,8,17
5_20_3,20,3,5,4,2.967833754080681,12,11
2_20_3,20,3,2,25,3.049120003509341,10,75
6_21_3,21,3,6,-1,4.757669118988993,13,0
6_21_3,21,3,6,0,3.945990384697703,13,1
5_21_3,21,3,5,5,2.9094285457230122,11,13
6_21_3,21,3,6,1,3.868615779699719,14,14
6_21_3,21,3,6,2,3.6791252853447562,15,7
6_21_3,21,3,6,3,3.6461665243558707,15,5
6_21_3,21,3,6,4,3.589231496856914,14,1
4_21_3,21,3,4,14,3.1777272877523415,8,66
5_21_3,21,3,5,6,2.846006254458742,10,29
7_15_4,15,4,7,-1,4.794852287977087,14,0
7_15_4,15,4,7,0,4.754541459664297,14,4
5_15_4,15,4,5,7,2.809212527631744,9,10
7_15_4,15,4,7,1,4.642270639095851,14,3
6_15_4,15,4,6,5,3.5179665959428665,13,10
7_15_4,15,4,7,2,4.484298115869748,14,5
6_15_4,15,4,6,6,3.5032751857121727,12,8
7_15_4,15,4,7,3,4.2788456438173705,13,8
7_15_4,15,4,7,4,3.49133310284559,13,1
