RunID,RuleCount,NonTerminalCount,RunNumber,step,bitsPerBase,grammarSize,neighborsEvaluated
1_200_30,200,30,1,-1,4.091378104007948,15,0
2_200_30,200,30,2,-1,4.778005754086703,14,0
3_200_30,200,30,3,-1,4.548511257801325,15,0
1_200_30,200,30,1,0,3.868331757700894,16,1
2_200_31,200,31,2,0,4.504772240312895,14,2
3_200_32,200,32,3,0,4.474410975092956,16,3
2_201_30,201,30,2,1,4.446937446880125,13,3
3_201_30,201,30,3,1,4.471518266078073,16,2
1_201_30,201,30,1,1,3.688674873880781,16,5
2_201_30,201,30,2,2,4.400854924673438,14,3
3_201_30,201,30,3,2,4.414966759886997,15,4
3_201_30,201,30,3,3,4.40335747084219,15,2
2_201_30,201,30,2,3,4.3590321841127855,13,6
2_201_30,201,30,2,4,4.302214332243941,13,1
3_201_30,201,30,3,4,4.33918969778753,14,4
1_201_30,201,30,1,2,3.645636509111732,15,9
3_201_30,201,30,3,5,4.135280990072311,14,1
2_201_30,201,30,2,5,4.1770617969627395,13,2
2_201_30,201,30,2,6,4.150607786397214,13,1
3_201_30,201,30,3,6,4.07123507026763,13,3
3_201_30,201,30,3,7,3.9983026375026296,12,2
2_201_30,201,30,2,7,4.107776365136094,12,6
2_201_30,201,30,2,8,3.8649170264596124,12,2
3_201_30,201,30,3,8,3.612478168797701,12,6
2_201_30,201,30,2,9,3.812364792222064,11,3
3_201_30,201,30,3,9,3.5320791737784885,12,3
1_201_30,201,30,1,3,3.601676497511955,14,12
2_201_30,201,30,2,10,3.750771761523272,10,3
3_201_30,201,30,3,10,3.491076749732479,12,8
2_201_30,201,30,2,11,3.6826408539098336,9,10
1_201_30,201,30,1,4,3.5549961347738903,13,14
3_201_30,201,30,3,11,3.445008193770295,12,11
2_201_30,201,30,2,12,3.5893451067140782,8,13
2_201_30,201,30,2,13,3.3366093282319165,8,3
1_201_30,201,30,1,5,3.520164529561513,13,7
3_201_30,201,30,3,12,2.962708895362093,12,14
2_201_30,201,30,2,14,3.302641667852071,8,15
1_201_30,201,30,1,6,3.4552343145063347,12,17
3_201_30,201,30,3,13,2.8735729167877437,11,11
1_201_30,201,30,1,7,3.4540314531600314,12,4
3_201_30,201,30,3,14,2.8464868352990758,11,1
3_201_30,201,30,3,15,2.811082407912693,11,3
2_201_30,201,30,2,15,3.2421680177802163,7,17
1_201_30,201,30,1,8,3.3931825820753625,11,6
1_201_30,201,30,1,9,3.389763978936306,11,16
3_201_30,201,30,3,16,2.7961958361251145,10,17
2_201_30,201,30,2,16,3.145552747848114,7,34
1_201_30,201,30,1,10,3.3826677196513626,10,16
1_201_30,201,30,1,11,3.2516780439910886,10,8
1_201_30,201,30,1,12,3.1856913011668886,10,10
2_201_30,201,30,2,17,3.126987751810601,8,29
1_201_30,201,30,1,13,3.183787607984143,10,16
2_201_30,201,30,2,18,3.1013990896173262,8,23
1_201_30,201,30,1,14,3.158939897643915,9,9
1_201_30,201,30,1,15,3.1511119432271766,10,5
1_201_30,201,30,1,16,3.094800468509366,10,10
3_201_30,201,30,3,17,2.7961958361251145,10,65
1_201_30,201,30,1,17,3.0217067388444887,9,3
2_201_30,201,30,2,19,2.8436230891444034,9,29
1_201_30,201,30,1,18,2.9641806542970714,8,14
2_201_30,201,30,2,20,2.812228995070137,9,15
1_201_30,201,30,1,19,2.9621630731923996,9,51
2_201_30,201,30,2,21,2.8054106419946665,10,51
2_201_30,201,30,2,22,2.798903230705074,9,11
2_201_30,201,30,2,23,2.7707567301495715,10,7
1_201_30,201,30,1,20,2.9324227233610656,10,62
2_201_30,201,30,2,24,2.7707567301495715,10,70
1_201_30,201,30,1,21,2.9324227233610656,10,75
1_201_30,201,30,1,-1,5.149400498713329,13,0
2_201_30,201,30,2,-1,4.778005754086703,14,0
3_201_30,201,30,3,-1,4.5460312581517845,16,0
1_201_30,201,30,1,0,4.3046274276764205,14,2
2_201_31,201,31,2,0,4.700089995426511,15,2
3_201_32,201,32,3,0,4.302760313813267,17,2
2_202_30,202,30,2,1,3.9951983707747294,15,3
3_202_30,202,30,3,1,4.248755246853294,16,4
1_202_30,202,30,1,1,4.294118721413631,14,5
3_202_30,202,30,3,2,4.01199851483197,16,2
2_202_30,202,30,2,2,3.973820889854405,14,5
1_202_30,202,30,1,2,4.224991452596756,13,5
2_202_30,202,30,2,3,3.9106496582779005,13,2
3_202_30,202,30,3,3,3.979801164601256,16,4
2_202_30,202,30,2,4,3.8469814032026513,12,3
2_202_30,202,30,2,5,3.673021797245915,12,2
3_202_30,202,30,3,4,3.9289446257541853,15,4
2_202_30,202,30,2,6,3.6288979345014467,11,3
3_202_30,202,30,3,5,3.1370199833629084,15,3
2_202_30,202,30,2,7,3.603685149269148,11,7
1_202_30,202,30,1,3,4.147769674402135,12,13
3_202_30,202,30,3,6,3.078158897323746,14,3
2_202_30,202,30,2,8,3.5427458037778004,11,3
3_202_30,202,30,3,7,3.015785782048862,13,2
2_202_30,202,30,2,9,3.498652460646184,10,7
1_202_30,202,30,1,4,4.074606776596346,11,12
2_202_30,202,30,2,10,3.4680964452335488,10,5
3_202_30,202,30,3,8,2.9500763325703208,12,10
2_202_30,202,30,2,11,3.4369854670891913,10,4
1_202_30,202,30,1,5,4.029779551698178,11,7
2_202_30,202,30,2,12,3.390643661985634,9,4
1_202_30,202,30,1,6,3.8951634169087654,11,6
1_202_30,202,30,1,7,3.779917870680375,11,2
1_202_30,202,30,1,8,3.706201812006909,10,2
3_202_30,202,30,3,9,2.897627297465636,12,13
1_202_30,202,30,1,9,3.454025548686768,10,2
2_202_30,202,30,2,13,3.354230246255777,9,9
1_202_30,202,30,1,10,3.4514285458433474,9,7
1_202_30,202,30,1,11,3.340725475666624,9,4
2_202_30,202,30,2,14,3.3035519084180307,8,10
1_202_30,202,30,1,12,3.3361977246621493,8,3
3_202_30,202,30,3,10,2.7968280478120695,11,13
2_202_30,202,30,2,15,3.2869046133659796,7,10
1_202_30,202,30,1,13,3.285200831136209,8,10
2_202_30,202,30,2,16,3.227307821941678,7,9
1_202_30,202,30,1,14,3.2804562844252914,7,8
