RunID,RuleCount,NonTerminalCount,RunNumber,step,bitsPerBase,grammarSize,neighborsEvaluated
1_150_30,150,30,1,-1,3.5251058704518243,9,0
3_150_30,150,30,3,-1,4.689079545848686,13,0
2_150_30,150,30,2,-1,4.704128126704569,12,0
1_150_30,150,30,1,0,3.459832824776021,9,2
3_150_30,150,30,3,0,4.640280669483992,13,2
1_150_30,150,30,1,1,3.396924765031275,8,2
1_150_30,150,30,1,2,3.3300160172898527,7,3
3_150_30,150,30,3,1,4.635261433366836,14,9
2_150_30,150,30,2,0,4.29179048026184,12,11
3_150_30,150,30,3,2,4.633856424418963,13,3
3_150_30,150,30,3,3,4.632017431704031,12,3
3_150_30,150,30,3,4,4.628121979829605,12,3
3_150_30,150,30,3,5,4.626283075081709,11,6
3_150_30,150,30,3,6,4.110803246070251,12,1
3_150_30,150,30,3,7,3.877618306159609,12,2
2_150_30,150,30,2,1,4.025909972703589,12,14
1_150_30,150,30,1,3,3.320682103432956,8,50
2_150_30,150,30,2,2,3.914965865590593,11,5
2_150_30,150,30,2,3,3.8471078169291015,10,3
2_150_30,150,30,2,4,3.777779610593952,9,2
1_150_30,150,30,1,4,3.2421680177802163,7,12
2_150_30,150,30,2,5,3.684204057910266,8,3
