RunID,RuleCount,NonTerminalCount,RunNumber,step,bitsPerBase,grammarSize,neighborsEvaluated
1_15_3,15,3,1,-1,3.6669563547398707,11,0
3_15_3,15,3,3,-1,5.10100293612259,13,0
2_15_3,15,3,2,-1,4.297840525363743,12,0
2_15_3,15,3,2,0,4.214483074480581,12,1
3_15_3,15,3,3,0,4.433720038162249,14,1
2_15_3,15,3,2,1,4.073198364570224,12,3
1_15_3,15,3,1,0,3.616333540394186,11,5
3_15_3,15,3,3,1,4.412882198039098,14,5
2_15_3,15,3,2,2,4.030744773002507,11,3
3_15_3,15,3,3,2,4.323023482864153,13,1
3_15_3,15,3,3,3,3.867122173081312,14,1
3_15_3,15,3,3,4,3.8624679587759805,13,1
2_15_3,15,3,2,3,3.693997633436367,10,4
3_15_3,15,3,3,5,3.8189292726845667,12,4
1_15_3,15,3,1,1,3.6071863610502293,10,9
2_15_3,15,3,2,4,3.5538742964047674,11,4
1_15_3,15,3,1,2,3.2018477993267673,11,2
2_15_3,15,3,2,5,3.493039999859071,10,1
1_15_3,15,3,1,3,3.1407707408525924,10,2
3_15_3,15,3,3,6,3.8188224350777293,12,8
3_15_3,15,3,3,7,3.6818312974720153,12,3
3_15_3,15,3,3,8,3.680404130297618,11,1
3_15_3,15,3,3,9,3.4962988846920617,11,1
2_15_3,15,3,2,6,3.43220659922919,9,13
2_15_3,15,3,2,7,3.419404570429838,9,4
3_15_3,15,3,3,10,3.426473430289598,10,7
2_15_3,15,3,2,8,3.37515780378748,8,4
1_15_3,15,3,1,4,3.1325694190682527,11,23
3_15_3,15,3,3,11,3.4250645390913426,11,8
2_15_3,15,3,2,9,3.2957309046083716,7,12
2_15_3,15,3,2,10,3.246041523304733,7,5
2_15_3,15,3,2,11,3.0371846245958127,8,2
2_15_3,15,3,2,12,3.029710939785088,8,4
2_15_3,15,3,2,13,2.9672370841514852,8,1
2_15_3,15,3,2,14,2.904693576517156,8,1
2_15_3,15,3,2,15,2.8910852201006114,7,4
1_15_3,15,3,1,5,3.0036634498610835,11,21
3_15_3,15,3,3,12,3.380832530451638,10,20
2_15_3,15,3,2,16,2.8798965629974353,6,19
3_15_3,15,3,3,13,3.375423996360845,9,17
1_15_3,15,3,1,6,2.9887911089278454,10,17
2_15_3,15,3,2,17,2.8584054851251133,7,54
3_15_3,15,3,3,14,3.375423996360845,9,55
4_15_3,15,3,4,-1,4.29175243718886,14,0
1_15_3,15,3,1,7,2.985634207191945,9,48
4_15_3,15,3,4,0,4.26805884373376,14,5
4_15_3,15,3,4,1,4.193714258018559,15,1
4_15_3,15,3,4,2,4.17975272164526,14,3
4_15_3,15,3,4,3,4.070603861732713,13,3
2_15_3,15,3,2,18,2.8584054851251133,7,69
5_15_3,15,3,5,-1,3.894142080884669,13,0
5_15_3,15,3,5,0,3.8907554250156307,13,1
5_15_3,15,3,5,1,3.834114704615403,12,1
5_15_3,15,3,5,2,3.6391179783559995,11,2
5_15_3,15,3,5,3,3.5729053343025576,10,4
4_15_3,15,3,4,4,4.062199977219016,12,17
5_15_3,15,3,5,4,3.5218596781768827,10,12
4_15_3,15,3,4,5,4.053853876461645,11,7
4_15_3,15,3,4,6,3.8398417866040084,11,10
5_15_3,15,3,5,5,3.484027907964238,9,13
4_15_3,15,3,4,7,3.760510018769404,11,8
4_15_3,15,3,4,8,3.717826108537314,10,3
4_15_3,15,3,4,9,3.610974167470714,11,5
1_15_3,15,3,1,8,2.985634207191945,9,72
6_15_3,15,3,6,-1,4.757669118988993,13,0
4_15_3,15,3,4,10,3.404848684101234,11,4
6_15_3,15,3,6,0,3.928536394870683,13,3
6_15_3,15,3,6,1,3.8669399030743055,14,3
4_15_3,15,3,4,11,3.3877629882693863,12,13
6_15_3,15,3,6,2,3.5996232837661104,14,10
4_15_3,15,3,4,12,3.366108921250309,12,8
