RunID,RuleCount,NonTerminalCount,RunNumber,step,bitsPerBase,grammarSize,neighborsEvaluated
6_16_36,16,36,6,9,3.8034093659319534,17,6
5_16_36,16,36,5,10,3.1401639406120996,13,8
6_16_36,16,36,6,10,3.7027190361801323,17,3
6_16_36,16,36,6,11,3.4438212249513764,16,5
6_16_36,16,36,6,12,3.321301156914793,16,2
6_16_36,16,36,6,13,3.308922270496945,16,1
4_16_36,16,36,4,2,4.3248671074482905,14,75
6_16_36,16,36,6,14,3.2882022741641688,15,15
6_16_36,16,36,6,15,3.2770881399758243,16,4
6_16_36,16,36,6,16,3.2518989803505507,16,6
6_16_36,16,36,6,17,3.214433341966559,16,6
6_16_36,16,36,6,18,3.2023914908832802,16,3
5_16_36,16,36,5,11,3.1401639406120996,13,75
6_16_36,16,36,6,19,3.176884428197034,16,27
6_16_36,16,36,6,20,3.174401763489948,15,30
6_16_36,16,36,6,21,2.9769953026206033,16,49
6_16_36,16,36,6,22,2.9141591347078877,15,3
6_16_36,16,36,6,23,2.909521806670758,14,14
6_16_36,16,36,6,24,2.9045218860953823,14,23
3_17_36,17,36,3,-1,4.840064518594408,16,0
6_18_36,18,36,6,-1,3.4377040723028585,15,0
5_19_36,19,36,5,-1,4.352863711975409,16,0
3_19_36,19,36,3,0,4.802204970838991,16,2
6_19_36,19,36,6,0,3.315275945358367,15,4
5_19_36,19,36,5,0,4.29179048026184,16,4
6_19_36,19,36,6,1,3.2767786201647655,15,6
6_19_36,19,36,6,2,3.228618995563333,15,2
6_19_36,19,36,6,3,3.171474697732665,15,6
6_19_36,19,36,6,4,3.0890376016927585,15,4
3_19_36,19,36,3,1,4.759272455157516,16,28
3_19_36,19,36,3,2,4.675391012973051,16,2
5_19_36,19,36,5,1,4.222338958923773,16,30
6_19_36,19,36,6,5,3.076420406549677,15,21
3_19_36,19,36,3,3,4.3673938902038065,16,11
3_19_36,19,36,3,4,4.26966046401339,15,42
6_19_36,19,36,6,6,3.063255061899074,15,54
5_19_36,19,36,5,2,4.222338958923773,16,75
7_20_36,20,36,7,-1,4.352863711975409,16,0
7_20_36,20,36,7,0,4.29179048026184,16,24
6_20_36,20,36,6,7,3.063255061899074,15,75
9_21_36,21,36,9,-1,4.334503053827163,16,0
3_21_36,21,36,3,5,4.26966046401339,15,75
9_21_36,21,36,9,0,4.206063384905588,16,11
7_21_36,21,36,7,1,4.222338958923773,16,31
9_21_36,21,36,9,1,4.2000148086416935,15,17
9_21_36,21,36,9,2,4.19322037872198,15,17
9_21_36,21,36,9,3,4.184693751067966,15,1
9_21_36,21,36,9,4,4.174887467140821,15,7
9_21_36,21,36,9,5,4.161186946466391,15,4
7_21_36,21,36,7,2,4.222338958923773,16,75
9_21_36,21,36,9,6,3.767727854588825,15,59
9_21_36,21,36,9,7,3.767727854588825,15,75
4_15_37,15,37,4,-1,4.893409324388033,16,0
5_16_37,16,37,5,-1,5.255284179521565,16,0
6_17_37,17,37,6,-1,4.431845003752128,17,0
5_17_37,17,37,5,0,4.423984239609534,17,1
6_17_37,17,37,6,0,4.426415842517883,17,1
4_17_37,17,37,4,0,4.5090341362115725,16,2
5_17_37,17,37,5,1,4.369798804005242,17,2
4_17_37,17,37,4,1,4.419104440901015,16,2
5_17_37,17,37,5,2,4.331546875164363,17,1
5_17_37,17,37,5,3,4.206149570873721,18,2
4_17_37,17,37,4,2,3.7312107381763915,16,4
6_17_37,17,37,6,1,4.230212064346672,17,5
6_17_37,17,37,6,2,4.182216606173234,16,3
5_17_37,17,37,5,4,4.175768280777987,19,5
6_17_37,17,37,6,3,4.133285650630521,15,4
5_17_37,17,37,5,5,4.054130017232988,19,4
5_17_37,17,37,5,6,4.047928315729002,19,2
4_17_37,17,37,4,3,3.640632825540155,16,14
5_17_37,17,37,5,7,3.9258872832098732,18,3
4_17_37,17,37,4,4,3.5219820972427818,16,2
6_17_37,17,37,6,4,3.9188324177438907,15,7
5_17_37,17,37,5,8,3.601658899870673,18,3
4_17_37,17,37,4,5,3.362454505501778,16,4
6_17_37,17,37,6,5,3.8105885517151106,15,5
